Year,Series,Discrimination indicators,Geography,Gender,Age group,Immigrant status,Visible minority,Indigenous identity,Disability,LGBTQ2+,Highest level of education,Main activity,Area,Progress,GeoCode,Value
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,,,,,,,,,,,,,35.9,,35.9
2024 Q2,Proportion of population reporting to have experienced discrimination or unfair treatment,,,,,,,,,,,,,,,36.9
2024 Q3,Proportion of population reporting to have experienced discrimination or unfair treatment,,,,,,,,,,,,,,,30.9
2024 Q4,Proportion of population reporting to have experienced discrimination or unfair treatment,,,,,,,,,,,,,,,26.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,15 to 24 years,,,,,,,,,43.6,11124,43.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,15 to 24 years,,,,,,,,,56.4,11124,56.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,25 to 54 years,,,,,,,,,42.6,11124,42.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,25 to 54 years,,,,,,,,,57.4,11124,57.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,25 to 34 years,,,,,,,,,47.9,11124,47.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,25 to 34 years,,,,,,,,,52.1,11124,52.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,35 to 44 years,,,,,,,,,41.0,11124,41.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,35 to 44 years,,,,,,,,,59.0,11124,59.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,45 to 54 years,,,,,,,,,38.0,11124,38.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,45 to 54 years,,,,,,,,,62.0,11124,62.0
