Year,Units,Assistance type,Value
2015,"US dollar, Millions, 2023 constant prices",,379.842149
2016,"US dollar, Millions, 2023 constant prices",,409.650996
2017,"US dollar, Millions, 2023 constant prices",,386.525317
2018,"US dollar, Millions, 2023 constant prices",,348.850018
2019,"US dollar, Millions, 2023 constant prices",,267.415357
2020,"US dollar, Millions, 2023 constant prices",,350.353924
2021,"US dollar, Millions, 2023 constant prices",,1207.520948
2022,"US dollar, Millions, 2023 constant prices",,927.206938
2023,"US dollar, Millions, 2023 constant prices",,436.241642
2015,"US dollar, Millions, 2023 constant prices",Basic health,341.145879
2015,"US dollar, Millions, 2023 constant prices",Medical research,38.69627
2016,"US dollar, Millions, 2023 constant prices",Basic health,379.321924
2016,"US dollar, Millions, 2023 constant prices",Medical research,30.329072
2017,"US dollar, Millions, 2023 constant prices",Basic health,379.734309
2017,"US dollar, Millions, 2023 constant prices",Medical research,6.791008
2018,"US dollar, Millions, 2023 constant prices",Basic health,339.632138
2018,"US dollar, Millions, 2023 constant prices",Medical research,9.21788
2019,"US dollar, Millions, 2023 constant prices",Basic health,259.788128
2019,"US dollar, Millions, 2023 constant prices",Medical research,7.627229
2020,"US dollar, Millions, 2023 constant prices",Basic health,343.032989
2020,"US dollar, Millions, 2023 constant prices",Medical research,7.320935
2021,"US dollar, Millions, 2023 constant prices",Basic health,1202.341913
2021,"US dollar, Millions, 2023 constant prices",Medical research,5.179035
2022,"US dollar, Millions, 2023 constant prices",Basic health,923.308504
2022,"US dollar, Millions, 2023 constant prices",Medical research,3.898434
2023,"US dollar, Millions, 2023 constant prices",Basic health,432.291627
2023,"US dollar, Millions, 2023 constant prices",Medical research,3.950015
