Year,Series,Units,Value
2000,Empreinte matérielle,Tonnes (million),1196.74
2001,Empreinte matérielle,Tonnes (million),1101.55
2002,Empreinte matérielle,Tonnes (million),1097.2
2003,Empreinte matérielle,Tonnes (million),1203.02
2004,Empreinte matérielle,Tonnes (million),1315.71
2005,Empreinte matérielle,Tonnes (million),1107.7
2006,Empreinte matérielle,Tonnes (million),1149.26
2007,Empreinte matérielle,Tonnes (million),1115.39
2008,Empreinte matérielle,Tonnes (million),1081.33
2009,Empreinte matérielle,Tonnes (million),1028.52
2010,Empreinte matérielle,Tonnes (million),1178.79
2011,Empreinte matérielle,Tonnes (million),1271.44
2012,Empreinte matérielle,Tonnes (million),1216.29
2013,Empreinte matérielle,Tonnes (million),1235.32
2014,Empreinte matérielle,Tonnes (million),1206.28
2015,Empreinte matérielle,Tonnes (million),1240.12
2016,Empreinte matérielle,Tonnes (million),1290.24
2017,Empreinte matérielle,Tonnes (million),1340.02
2018,Empreinte matérielle,Tonnes (million),1328.66
2019,Empreinte matérielle,Tonnes (million),1311.23
2000,Empreinte matérielle par habitant,Tonnes par habitant,39.0
2001,Empreinte matérielle par habitant,Tonnes par habitant,35.51
2002,Empreinte matérielle par habitant,Tonnes par habitant,34.99
2003,Empreinte matérielle par habitant,Tonnes par habitant,38.02
2004,Empreinte matérielle par habitant,Tonnes par habitant,41.19
2005,Empreinte matérielle par habitant,Tonnes par habitant,34.36
2006,Empreinte matérielle par habitant,Tonnes par habitant,35.28
2007,Empreinte matérielle par habitant,Tonnes par habitant,33.91
2008,Empreinte matérielle par habitant,Tonnes par habitant,32.52
2009,Empreinte matérielle par habitant,Tonnes par habitant,30.58
2010,Empreinte matérielle par habitant,Tonnes par habitant,34.66
2011,Empreinte matérielle par habitant,Tonnes par habitant,37.03
2012,Empreinte matérielle par habitant,Tonnes par habitant,35.04
2013,Empreinte matérielle par habitant,Tonnes par habitant,35.21
2014,Empreinte matérielle par habitant,Tonnes par habitant,34.04
2015,Empreinte matérielle par habitant,Tonnes par habitant,34.73
2016,Empreinte matérielle par habitant,Tonnes par habitant,35.73
2017,Empreinte matérielle par habitant,Tonnes par habitant,36.67
2018,Empreinte matérielle par habitant,Tonnes par habitant,35.84
2019,Empreinte matérielle par habitant,Tonnes par habitant,34.86
2000,Empreinte matérielle par PIB,Tonnes par dollar,0.00078
2001,Empreinte matérielle par PIB,Tonnes par dollar,0.0007
2002,Empreinte matérielle par PIB,Tonnes par dollar,0.00068
2003,Empreinte matérielle par PIB,Tonnes par dollar,0.00073
2004,Empreinte matérielle par PIB,Tonnes par dollar,0.00078
2005,Empreinte matérielle par PIB,Tonnes par dollar,0.00063
2006,Empreinte matérielle par PIB,Tonnes par dollar,0.00064
2007,Empreinte matérielle par PIB,Tonnes par dollar,0.00061
2008,Empreinte matérielle par PIB,Tonnes par dollar,0.00059
2009,Empreinte matérielle par PIB,Tonnes par dollar,0.00057
2010,Empreinte matérielle par PIB,Tonnes par dollar,0.00064
2011,Empreinte matérielle par PIB,Tonnes par dollar,0.00067
2012,Empreinte matérielle par PIB,Tonnes par dollar,0.00063
2013,Empreinte matérielle par PIB,Tonnes par dollar,0.00062
2014,Empreinte matérielle par PIB,Tonnes par dollar,0.00059
2015,Empreinte matérielle par PIB,Tonnes par dollar,0.0006
2016,Empreinte matérielle par PIB,Tonnes par dollar,0.00062
2017,Empreinte matérielle par PIB,Tonnes par dollar,0.00063
2018,Empreinte matérielle par PIB,Tonnes par dollar,0.0006
2019,Empreinte matérielle par PIB,Tonnes par dollar,0.00059
