Value,en,fr,Disaggregation combinations using this value,Number of indicators
Agriculture and land use,Agriculture and land use,Agriculture et utilisation des terres,13,1
All categories,All categories,Toutes les catégories,12,1
Balance of payments,Balance of payments,Balance des paiements,13,1
Built environment,Built environment,Environnement bâti,13,1
Crime and justice,Crime and justice,Criminalité et justice,13,1
Economic and financial statistics subscore,Economic and financial statistics subscore,Sous-score des statistiques économiques et financières,13,1
Education facilities,Education facilities,Établissements d'enseignement,13,1
Education outcomes,Education outcomes,Résultats en matière d'éducation,13,1
Energy use,Energy use,Consommation d'énergie,13,1
Environment subscore,Environment subscore,Sous-score de l'environnement,13,1
Food security and nutrition,Food security and nutrition,Sécurité alimentaire et nutrition,13,1
Gender statistics,Gender statistics,Statistiques sur le genre,13,1
Government finance,Government finance,Finances gouvernementales,13,1
Health facilities,Health facilities,Établissements de soins de santé,13,1
Health outcomes,Health outcomes,Résultats en matière de santé,13,1
International trade,International trade,Commerce international,13,1
Labor,Labor,Travail,13,1
Money and banking,Money and banking,Monnaie et banque,13,1
National accounts,National accounts,Comptes nationaux,13,1
Pollution,Pollution,Pollution,13,1
Population and vital statistics,Population and vital statistics,Population et statistiques démographiques,13,1
Poverty and income,Poverty and income,Pauvreté et revenus,13,1
Price indexes,Price indexes,Indices de prix,13,1
Reproductive health,Reproductive health,Santé reproductive,13,1
Resource use,Resource use,Utilisation des ressources,13,1
Social statistics subscore,Social statistics subscore,Sous-score des statistiques sociales,13,1
