Value,en,fr,Disaggregation combinations using this value,Number of indicators
Aortic aneurysm and dissection,Aortic aneurysm and dissection,Anévrisme aortique et dissection,87,1
Atherosclerosis,Atherosclerosis,Athérosclérose,87,1
Cerebrovascular diseases,Cerebrovascular diseases,Maladies cérébrovasculaires,87,1
Chronic lower respiratory diseases,Chronic lower respiratory diseases,Maladies chroniques des voies respiratoires inférieures,87,1
Diabetes mellitus,Diabetes mellitus,Diabète sucré,87,1
Diseases of heart,Diseases of heart,Maladies du coeur,87,1
Essential hypertension and hypertensive renal disease,Essential hypertension and hypertensive renal disease,Hypertension essentielle et néphropathie hypertensive,87,1
Malignant neoplasms,Malignant neoplasms,Tumeurs malignes,87,1
Pneumoconioses and chemical effects,Pneumoconioses and chemical effects,Pneumoconioses et affections respiratoires dues à des agents chimiques,87,1
Pneumonitis due to solids and liquids,Pneumonitis due to solids and liquids,Pneumopathie due à des substances solides et liquides,87,1
