Year,Geography,Type of materials diverted,Sources of materials prepared for recycling,GeoCode,Value
2018,Newfoundland and Labrador,Plastics,All sources of diverted materials,10,2.09688835394264
2018,Newfoundland and Labrador,Plastics,Residential sources of diverted materials,10,1.86789603370161
2018,Newfoundland and Labrador,Plastics,Non-residential sources of diverted materials,10,0.228992320241029
2018,Newfoundland and Labrador,Gable top and aseptic containers,All sources of diverted materials,10,1.02762669331305
2018,Newfoundland and Labrador,Gable top and aseptic containers,Residential sources of diverted materials,10,0.86487182107562
2018,Newfoundland and Labrador,Gable top and aseptic containers,Non-residential sources of diverted materials,10,0.162754872237425
2018,Newfoundland and Labrador,Textiles,All sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,Textiles,Residential sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,Textiles,Non-residential sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,Tires,All sources of diverted materials,10,11.2206236918104
2018,Newfoundland and Labrador,Tires,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Tires,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,"Construction, renovation and demolition",All sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,"Construction, renovation and demolition",Residential sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,"Construction, renovation and demolition",Non-residential sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,All organic materials,All sources of diverted materials,10,1.71271115552174
2018,Newfoundland and Labrador,All organic materials,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,All organic materials,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Food waste and source separated organics,All sources of diverted materials,10,
2018,Newfoundland and Labrador,Food waste and source separated organics,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Food waste and source separated organics,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Leaf and yard waste,All sources of diverted materials,10,
2018,Newfoundland and Labrador,Leaf and yard waste,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Leaf and yard waste,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Other organic materials,All sources of diverted materials,10,
2018,Newfoundland and Labrador,Other organic materials,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Other organic materials,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Other materials,All sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,Other materials,Residential sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,Other materials,Non-residential sources of diverted materials,10,0.0
2018,Prince Edward Island,All materials diverted,All sources of diverted materials,11,373.015716640724
2018,Prince Edward Island,All materials diverted,Residential sources of diverted materials,11,
2018,Prince Edward Island,All materials diverted,Non-residential sources of diverted materials,11,
2018,Prince Edward Island,All paper fibres,All sources of diverted materials,11,80.2185749282473
2018,Prince Edward Island,All paper fibres,Residential sources of diverted materials,11,30.4809567907316
2018,Prince Edward Island,All paper fibres,Non-residential sources of diverted materials,11,49.7376181375157
2018,Prince Edward Island,Glass,All sources of diverted materials,11,1.76015867699118
2018,Prince Edward Island,Glass,Residential sources of diverted materials,11,0.669911138257837
2018,Prince Edward Island,Glass,Non-residential sources of diverted materials,11,1.09024753873334
2018,Prince Edward Island,Ferrous metals,All sources of diverted materials,11,61.493901838315
2018,Prince Edward Island,Ferrous metals,Residential sources of diverted materials,11,23.3680767639351
2018,Prince Edward Island,Ferrous metals,Non-residential sources of diverted materials,11,38.1258250743798
2018,Prince Edward Island,Copper and aluminum,All sources of diverted materials,11,10.6726039183234
2018,Prince Edward Island,Copper and aluminum,Residential sources of diverted materials,11,4.42666771750767
2018,Prince Edward Island,Copper and aluminum,Non-residential sources of diverted materials,11,6.24593620081572
2018,Prince Edward Island,Mixed metals,All sources of diverted materials,11,13.1617835398893
2018,Prince Edward Island,Mixed metals,Residential sources of diverted materials,11,5.00463026816149
2018,Prince Edward Island,Mixed metals,Non-residential sources of diverted materials,11,8.15715327172778
2018,Prince Edward Island,White goods,All sources of diverted materials,11,44.5950649879482
2018,Prince Edward Island,White goods,Residential sources of diverted materials,11,16.9448111441688
2018,Prince Edward Island,White goods,Non-residential sources of diverted materials,11,27.6502538437793
2018,Prince Edward Island,Electronics,All sources of diverted materials,11,3.00803236590284
2018,Prince Edward Island,Electronics,Residential sources of diverted materials,11,
2018,Prince Edward Island,Electronics,Non-residential sources of diverted materials,11,
2018,Prince Edward Island,Plastics,All sources of diverted materials,11,6.16712312572656
2018,Prince Edward Island,Plastics,Residential sources of diverted materials,11,2.34468898390243
2018,Prince Edward Island,Plastics,Non-residential sources of diverted materials,11,3.82243414182413
2018,Prince Edward Island,Gable top and aseptic containers,All sources of diverted materials,11,0.0
2018,Prince Edward Island,Gable top and aseptic containers,Residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Gable top and aseptic containers,Non-residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Textiles,All sources of diverted materials,11,0.0
2018,Prince Edward Island,Textiles,Residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Textiles,Non-residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Tires,All sources of diverted materials,11,15.4604982299897
2018,Prince Edward Island,Tires,Residential sources of diverted materials,11,
2018,Prince Edward Island,Tires,Non-residential sources of diverted materials,11,
2018,Prince Edward Island,"Construction, renovation and demolition",All sources of diverted materials,11,0.0
2018,Prince Edward Island,"Construction, renovation and demolition",Residential sources of diverted materials,11,0.0
2018,Prince Edward Island,"Construction, renovation and demolition",Non-residential sources of diverted materials,11,0.0
2018,Prince Edward Island,All organic materials,All sources of diverted materials,11,134.277776683152
2018,Prince Edward Island,All organic materials,Residential sources of diverted materials,11,105.845959844738
2018,Prince Edward Island,All organic materials,Non-residential sources of diverted materials,11,28.4318168384135
2018,Prince Edward Island,Food waste and source separated organics,All sources of diverted materials,11,122.061750044332
2018,Prince Edward Island,Food waste and source separated organics,Residential sources of diverted materials,11,
2018,Prince Edward Island,Food waste and source separated organics,Non-residential sources of diverted materials,11,
2018,Prince Edward Island,Leaf and yard waste,All sources of diverted materials,11,12.2160266388194
2018,Prince Edward Island,Leaf and yard waste,Residential sources of diverted materials,11,
2018,Prince Edward Island,Leaf and yard waste,Non-residential sources of diverted materials,11,
2018,Prince Edward Island,Other organic materials,All sources of diverted materials,11,0.0
2018,Prince Edward Island,Other organic materials,Residential sources of diverted materials,11,
2018,Prince Edward Island,Other organic materials,Non-residential sources of diverted materials,11,
2018,Prince Edward Island,Other materials,All sources of diverted materials,11,2.20019834623897
2018,Prince Edward Island,Other materials,Residential sources of diverted materials,11,0.834105044693581
2018,Prince Edward Island,Other materials,Non-residential sources of diverted materials,11,1.36609330154539
2018,Nova Scotia,All materials diverted,All sources of diverted materials,12,329.172868558694
2018,Nova Scotia,All materials diverted,Residential sources of diverted materials,12,
2018,Nova Scotia,All materials diverted,Non-residential sources of diverted materials,12,
2018,Nova Scotia,All paper fibres,All sources of diverted materials,12,76.3581104116948
2018,Nova Scotia,All paper fibres,Residential sources of diverted materials,12,41.4407653481236
2018,Nova Scotia,All paper fibres,Non-residential sources of diverted materials,12,34.9173450635711
2018,Nova Scotia,Glass,All sources of diverted materials,12,4.34894685636834
2018,Nova Scotia,Glass,Residential sources of diverted materials,12,
2018,Nova Scotia,Glass,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Ferrous metals,All sources of diverted materials,12,5.75424708337837
2018,Nova Scotia,Ferrous metals,Residential sources of diverted materials,12,5.33016239948777
2018,Nova Scotia,Ferrous metals,Non-residential sources of diverted materials,12,0.424084683890603
2018,Nova Scotia,Copper and aluminum,All sources of diverted materials,12,0.472937576397608
2018,Nova Scotia,Copper and aluminum,Residential sources of diverted materials,12,0.440715455807881
2018,Nova Scotia,Copper and aluminum,Non-residential sources of diverted materials,12,0.0322221205897272
2018,Nova Scotia,Mixed metals,All sources of diverted materials,12,
2018,Nova Scotia,Mixed metals,Residential sources of diverted materials,12,
2018,Nova Scotia,Mixed metals,Non-residential sources of diverted materials,12,
2018,Nova Scotia,White goods,All sources of diverted materials,12,1.13920787633358
2018,Nova Scotia,White goods,Residential sources of diverted materials,12,
2018,Nova Scotia,White goods,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Electronics,All sources of diverted materials,12,3.29393226286598
2018,Nova Scotia,Electronics,Residential sources of diverted materials,12,
2018,Nova Scotia,Electronics,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Plastics,All sources of diverted materials,12,15.6131765605901
2018,Nova Scotia,Plastics,Residential sources of diverted materials,12,11.1478143008008
2018,Nova Scotia,Plastics,Non-residential sources of diverted materials,12,4.46536225978929
2018,Nova Scotia,Gable top and aseptic containers,All sources of diverted materials,12,1.09555210005072
2018,Nova Scotia,Gable top and aseptic containers,Residential sources of diverted materials,12,1.01031939397467
2018,Nova Scotia,Gable top and aseptic containers,Non-residential sources of diverted materials,12,0.0852327060760525
2018,Nova Scotia,Textiles,All sources of diverted materials,12,
2018,Nova Scotia,Textiles,Residential sources of diverted materials,12,
2018,Nova Scotia,Textiles,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Tires,All sources of diverted materials,12,14.8346485502125
2018,Nova Scotia,Tires,Residential sources of diverted materials,12,
2018,Nova Scotia,Tires,Non-residential sources of diverted materials,12,
2018,Nova Scotia,"Construction, renovation and demolition",All sources of diverted materials,12,51.5491564040945
2018,Nova Scotia,"Construction, renovation and demolition",Residential sources of diverted materials,12,5.463208574826
2018,Nova Scotia,"Construction, renovation and demolition",Non-residential sources of diverted materials,12,46.0869872525133
2018,Nova Scotia,All organic materials,All sources of diverted materials,12,154.196359524027
2018,Nova Scotia,All organic materials,Residential sources of diverted materials,12,101.026742281243
2018,Nova Scotia,All organic materials,Non-residential sources of diverted materials,12,53.1696172427843
2018,Nova Scotia,Food waste and source separated organics,All sources of diverted materials,12,101.614016414572
2018,Nova Scotia,Food waste and source separated organics,Residential sources of diverted materials,12,
2018,Nova Scotia,Food waste and source separated organics,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Leaf and yard waste,All sources of diverted materials,12,19.0796530820978
2018,Nova Scotia,Leaf and yard waste,Residential sources of diverted materials,12,
2018,Nova Scotia,Leaf and yard waste,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Other organic materials,All sources of diverted materials,12,33.5026900273576
2018,Nova Scotia,Other organic materials,Residential sources of diverted materials,12,
2018,Nova Scotia,Other organic materials,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Other materials,All sources of diverted materials,12,
2018,Nova Scotia,Other materials,Residential sources of diverted materials,12,
2018,Nova Scotia,Other materials,Non-residential sources of diverted materials,12,
2018,New Brunswick,All materials diverted,All sources of diverted materials,13,212.512183694421
2018,New Brunswick,All materials diverted,Residential sources of diverted materials,13,
2018,New Brunswick,All materials diverted,Non-residential sources of diverted materials,13,
2018,New Brunswick,All paper fibres,All sources of diverted materials,13,36.4959240594058
2018,New Brunswick,All paper fibres,Residential sources of diverted materials,13,21.3680260922495
2018,New Brunswick,All paper fibres,Non-residential sources of diverted materials,13,15.1278979671563
2018,New Brunswick,Glass,All sources of diverted materials,13,5.71579123604634
2018,New Brunswick,Glass,Residential sources of diverted materials,13,2.88125716258467
2018,New Brunswick,Glass,Non-residential sources of diverted materials,13,2.83453407346167
2018,New Brunswick,Ferrous metals,All sources of diverted materials,13,1.97145478827302
2018,New Brunswick,Ferrous metals,Residential sources of diverted materials,13,1.42894780901159
2018,New Brunswick,Ferrous metals,Non-residential sources of diverted materials,13,0.542506979261438
2018,New Brunswick,Copper and aluminum,All sources of diverted materials,13,2.80208748379293
2018,New Brunswick,Copper and aluminum,Residential sources of diverted materials,13,2.61000367295395
2018,New Brunswick,Copper and aluminum,Non-residential sources of diverted materials,13,0.192083810838978
2018,New Brunswick,Mixed metals,All sources of diverted materials,13,0.802079696611408
2018,New Brunswick,Mixed metals,Residential sources of diverted materials,13,
2018,New Brunswick,Mixed metals,Non-residential sources of diverted materials,13,
2018,New Brunswick,White goods,All sources of diverted materials,13,0.17391372062448
2018,New Brunswick,White goods,Residential sources of diverted materials,13,
2018,New Brunswick,White goods,Non-residential sources of diverted materials,13,
2018,New Brunswick,Electronics,All sources of diverted materials,13,1.11746054819162
2018,New Brunswick,Electronics,Residential sources of diverted materials,13,
2018,New Brunswick,Electronics,Non-residential sources of diverted materials,13,
2018,New Brunswick,Plastics,All sources of diverted materials,13,7.10839886462893
2018,New Brunswick,Plastics,Residential sources of diverted materials,13,4.06620661728728
2018,New Brunswick,Plastics,Non-residential sources of diverted materials,13,3.04219224734165
2018,New Brunswick,Gable top and aseptic containers,All sources of diverted materials,13,0.61388947653268
2018,New Brunswick,Gable top and aseptic containers,Residential sources of diverted materials,13,
2018,New Brunswick,Gable top and aseptic containers,Non-residential sources of diverted materials,13,
2018,New Brunswick,Textiles,All sources of diverted materials,13,0.0
2018,New Brunswick,Textiles,Residential sources of diverted materials,13,0.0
2018,New Brunswick,Textiles,Non-residential sources of diverted materials,13,0.0
2018,New Brunswick,Tires,All sources of diverted materials,13,14.0753305983021
2018,New Brunswick,Tires,Residential sources of diverted materials,13,
2018,New Brunswick,Tires,Non-residential sources of diverted materials,13,
2018,New Brunswick,"Construction, renovation and demolition",All sources of diverted materials,13,14.0376925542864
2018,New Brunswick,"Construction, renovation and demolition",Residential sources of diverted materials,13,0.830632695519905
2018,New Brunswick,"Construction, renovation and demolition",Non-residential sources of diverted materials,13,13.2070598587665
2018,New Brunswick,All organic materials,All sources of diverted materials,13,122.337919550628
2018,New Brunswick,All organic materials,Residential sources of diverted materials,13,
2018,New Brunswick,All organic materials,Non-residential sources of diverted materials,13,
2018,New Brunswick,Food waste and source separated organics,All sources of diverted materials,13,
2018,New Brunswick,Food waste and source separated organics,Residential sources of diverted materials,13,
2018,New Brunswick,Food waste and source separated organics,Non-residential sources of diverted materials,13,
2018,New Brunswick,Leaf and yard waste,All sources of diverted materials,13,21.3044307764988
2018,New Brunswick,Leaf and yard waste,Residential sources of diverted materials,13,
2018,New Brunswick,Leaf and yard waste,Non-residential sources of diverted materials,13,
2018,New Brunswick,Other organic materials,All sources of diverted materials,13,
2018,New Brunswick,Other organic materials,Residential sources of diverted materials,13,
2018,New Brunswick,Other organic materials,Non-residential sources of diverted materials,13,
2018,New Brunswick,Other materials,All sources of diverted materials,13,5.26024111709715
2018,New Brunswick,Other materials,Residential sources of diverted materials,13,4.7878187715202
2018,New Brunswick,Other materials,Non-residential sources of diverted materials,13,0.472422345576946
2018,Quebec,All materials diverted,All sources of diverted materials,24,299.482374464808
2018,Quebec,All materials diverted,Residential sources of diverted materials,24,
2018,Quebec,All materials diverted,Non-residential sources of diverted materials,24,
2018,Quebec,All paper fibres,All sources of diverted materials,24,131.156125748201
2018,Quebec,All paper fibres,Residential sources of diverted materials,24,62.8357075175472
2018,Quebec,All paper fibres,Non-residential sources of diverted materials,24,68.3204182306538
2018,Quebec,Glass,All sources of diverted materials,24,6.92349341256435
2018,Quebec,Glass,Residential sources of diverted materials,24,5.36547787151731
2018,Quebec,Glass,Non-residential sources of diverted materials,24,1.55801554104704
2018,Quebec,Ferrous metals,All sources of diverted materials,24,37.7014245105283
2018,Quebec,Ferrous metals,Residential sources of diverted materials,24,4.65008082198167
2018,Quebec,Ferrous metals,Non-residential sources of diverted materials,24,33.0513436885466
2018,Quebec,Copper and aluminum,All sources of diverted materials,24,6.29549403591365
2018,Quebec,Copper and aluminum,Residential sources of diverted materials,24,
2018,Quebec,Copper and aluminum,Non-residential sources of diverted materials,24,6.29549403591365
2018,Quebec,Mixed metals,All sources of diverted materials,24,0.0
2018,Quebec,Mixed metals,Residential sources of diverted materials,24,0.0
2018,Quebec,Mixed metals,Non-residential sources of diverted materials,24,0.0
2018,Quebec,White goods,All sources of diverted materials,24,0.0
2018,Quebec,White goods,Residential sources of diverted materials,24,0.0
2018,Quebec,White goods,Non-residential sources of diverted materials,24,0.0
2018,Quebec,Electronics,All sources of diverted materials,24,2.5500327830698
2018,Quebec,Electronics,Residential sources of diverted materials,24,
2018,Quebec,Electronics,Non-residential sources of diverted materials,24,
2018,Quebec,Plastics,All sources of diverted materials,24,9.89632585190971
2018,Quebec,Plastics,Residential sources of diverted materials,24,7.03473765376714
2018,Quebec,Plastics,Non-residential sources of diverted materials,24,2.86158819814257
2018,Quebec,Gable top and aseptic containers,All sources of diverted materials,24,0.0
2018,Quebec,Gable top and aseptic containers,Residential sources of diverted materials,24,0.0
2018,Quebec,Gable top and aseptic containers,Non-residential sources of diverted materials,24,0.0
2018,Quebec,Textiles,All sources of diverted materials,24,6.61026873770933
2018,Quebec,Textiles,Residential sources of diverted materials,24,6.61026873770933
2018,Quebec,Textiles,Non-residential sources of diverted materials,24,0.0
2018,Quebec,Tires,All sources of diverted materials,24,10.9515364999748
2018,Quebec,Tires,Residential sources of diverted materials,24,
2018,Quebec,Tires,Non-residential sources of diverted materials,24,
2018,Quebec,"Construction, renovation and demolition",All sources of diverted materials,24,35.1736882688357
2018,Quebec,"Construction, renovation and demolition",Residential sources of diverted materials,24,0.0
2018,Quebec,"Construction, renovation and demolition",Non-residential sources of diverted materials,24,35.1736882688357
2018,Quebec,All organic materials,All sources of diverted materials,24,52.2239846161018
2018,Quebec,All organic materials,Residential sources of diverted materials,24,46.1431096950489
2018,Quebec,All organic materials,Non-residential sources of diverted materials,24,6.08087492105295
2018,Quebec,Food waste and source separated organics,All sources of diverted materials,24,
2018,Quebec,Food waste and source separated organics,Residential sources of diverted materials,24,
2018,Quebec,Food waste and source separated organics,Non-residential sources of diverted materials,24,
2018,Quebec,Leaf and yard waste,All sources of diverted materials,24,
2018,Quebec,Leaf and yard waste,Residential sources of diverted materials,24,
2018,Quebec,Leaf and yard waste,Non-residential sources of diverted materials,24,
2018,Quebec,Other organic materials,All sources of diverted materials,24,
2018,Quebec,Other organic materials,Residential sources of diverted materials,24,
2018,Quebec,Other organic materials,Non-residential sources of diverted materials,24,
2018,Quebec,Other materials,All sources of diverted materials,24,0.0
2018,Quebec,Other materials,Residential sources of diverted materials,24,0.0
2018,Quebec,Other materials,Non-residential sources of diverted materials,24,0.0
2018,Ontario,All materials diverted,All sources of diverted materials,35,233.21646101634
2018,Ontario,All materials diverted,Residential sources of diverted materials,35,
2018,Ontario,All materials diverted,Non-residential sources of diverted materials,35,
2018,Ontario,All paper fibres,All sources of diverted materials,35,92.0460235701812
2018,Ontario,All paper fibres,Residential sources of diverted materials,35,40.6184349188574
2018,Ontario,All paper fibres,Non-residential sources of diverted materials,35,51.4275886513239
2018,Ontario,Glass,All sources of diverted materials,35,7.96726625850699
2018,Ontario,Glass,Residential sources of diverted materials,35,5.85799455089104
2018,Ontario,Glass,Non-residential sources of diverted materials,35,2.10927170761595
2018,Ontario,Ferrous metals,All sources of diverted materials,35,8.07294273242507
2018,Ontario,Ferrous metals,Residential sources of diverted materials,35,2.69063191320625
2018,Ontario,Ferrous metals,Non-residential sources of diverted materials,35,5.38231081921882
2018,Ontario,Copper and aluminum,All sources of diverted materials,35,1.54201100515079
2018,Ontario,Copper and aluminum,Residential sources of diverted materials,35,0.827054517473821
2018,Ontario,Copper and aluminum,Non-residential sources of diverted materials,35,0.714956487676965
2018,Ontario,Mixed metals,All sources of diverted materials,35,2.74961250796238
2018,Ontario,Mixed metals,Residential sources of diverted materials,35,1.02800733676719
2018,Ontario,Mixed metals,Non-residential sources of diverted materials,35,1.72160517119519
2018,Ontario,White goods,All sources of diverted materials,35,0.796412528008803
2018,Ontario,White goods,Residential sources of diverted materials,35,0.701903977358152
2018,Ontario,White goods,Non-residential sources of diverted materials,35,0.0945085506506502
2018,Ontario,Electronics,All sources of diverted materials,35,3.20847455521303
2018,Ontario,Electronics,Residential sources of diverted materials,35,
2018,Ontario,Electronics,Non-residential sources of diverted materials,35,
2018,Ontario,Plastics,All sources of diverted materials,35,8.76814595582277
2018,Ontario,Plastics,Residential sources of diverted materials,35,6.86582982625643
2018,Ontario,Plastics,Non-residential sources of diverted materials,35,1.90231612956634
2018,Ontario,Gable top and aseptic containers,All sources of diverted materials,35,0.627707087150146
2018,Ontario,Gable top and aseptic containers,Residential sources of diverted materials,35,0.512747277016009
2018,Ontario,Gable top and aseptic containers,Non-residential sources of diverted materials,35,0.114959810134137
2018,Ontario,Textiles,All sources of diverted materials,35,0.084666818271225
2018,Ontario,Textiles,Residential sources of diverted materials,35,0.0841782216282748
2018,Ontario,Textiles,Non-residential sources of diverted materials,35,0.0004885966429501
2018,Ontario,Tires,All sources of diverted materials,35,14.7070381508823
2018,Ontario,Tires,Residential sources of diverted materials,35,
2018,Ontario,Tires,Non-residential sources of diverted materials,35,
2018,Ontario,"Construction, renovation and demolition",All sources of diverted materials,35,10.9105026361185
2018,Ontario,"Construction, renovation and demolition",Residential sources of diverted materials,35,3.76030956366505
2018,Ontario,"Construction, renovation and demolition",Non-residential sources of diverted materials,35,7.15019307245344
2018,Ontario,All organic materials,All sources of diverted materials,35,79.9322470015173
2018,Ontario,All organic materials,Residential sources of diverted materials,35,73.506154153916
2018,Ontario,All organic materials,Non-residential sources of diverted materials,35,6.42609284760126
2018,Ontario,Food waste and source separated organics,All sources of diverted materials,35,39.4252121172526
2018,Ontario,Food waste and source separated organics,Residential sources of diverted materials,35,
2018,Ontario,Food waste and source separated organics,Non-residential sources of diverted materials,35,
2018,Ontario,Leaf and yard waste,All sources of diverted materials,35,38.3008116427834
2018,Ontario,Leaf and yard waste,Residential sources of diverted materials,35,
2018,Ontario,Leaf and yard waste,Non-residential sources of diverted materials,35,
2018,Ontario,Other organic materials,All sources of diverted materials,35,2.20622324148135
2018,Ontario,Other organic materials,Residential sources of diverted materials,35,
2018,Ontario,Other organic materials,Non-residential sources of diverted materials,35,
2018,Ontario,Other materials,All sources of diverted materials,35,1.80341020912914
2018,Ontario,Other materials,Residential sources of diverted materials,35,1.31383637289305
2018,Ontario,Other materials,Non-residential sources of diverted materials,35,0.489573836236086
2018,Manitoba,All materials diverted,All sources of diverted materials,46,163.893790655192
2018,Manitoba,All materials diverted,Residential sources of diverted materials,46,
2018,Manitoba,All materials diverted,Non-residential sources of diverted materials,46,
2018,Manitoba,All paper fibres,All sources of diverted materials,46,64.8073057551377
