Year,Series,Units,Value
2015,Air freight volume,Metric tonnes,1172780.8
2016,Air freight volume,Metric tonnes,1223213.3
2017,Air freight volume,Metric tonnes,1316626.7
2018,Air freight volume,Metric tonnes,1444698.9
2019,Air freight volume,Metric tonnes,1377025.8
2020,Air freight volume,Metric tonnes,1186628.5
2021,Air freight volume,Metric tonnes,1299219.8
2022,Air freight volume,Metric tonnes,1473149.8
2023,Air freight volume,Metric tonnes,1434183.8
2015,Air passengers,Number of passengers,133426703.0
2016,Air passengers,Number of passengers,140892544.0
2017,Air passengers,Number of passengers,150808451.0
2018,Air passengers,Number of passengers,160641587.0
2019,Air passengers,Number of passengers,162864077.0
2020,Air passengers,Number of passengers,46349535.0
2021,Air passengers,Number of passengers,46280911.0
2022,Air passengers,Number of passengers,118882897.0
2023,Air passengers,Number of passengers,150705583.0
2015,Rail freight volume,Metric tonnes,304908351.0
2016,Rail freight volume,Metric tonnes,292888995.0
2017,Rail freight volume,Metric tonnes,311701985.0
2018,Rail freight volume,Metric tonnes,328539280.0
2019,Rail freight volume,Metric tonnes,330244510.0
2020,Rail freight volume,Metric tonnes,321764297.0
2021,Rail freight volume,Metric tonnes,321060103.0
2022,Rail freight volume,Metric tonnes,315660251.0
2023,Rail freight volume,Metric tonnes,325563272.0
2015,Rail passengers,Number of passengers,3921000.0
2016,Rail passengers,Number of passengers,4080000.0
2017,Rail passengers,Number of passengers,4496000.0
2018,Rail passengers,Number of passengers,4838000.0
2019,Rail passengers,Number of passengers,5102000.0
2020,Rail passengers,Number of passengers,1125000.0
2021,Rail passengers,Number of passengers,1549000.0
2022,Rail passengers,Number of passengers,3377000.0
2023,Rail passengers,Number of passengers,4187000.0
2015,Road freight volume,Metric tonnes,729215433.594
2016,Road freight volume,Metric tonnes,755515777.679
2017,Road freight volume,Metric tonnes,751948221.713
2018,Road freight volume,Metric tonnes,753715221.437
