Year,Type de production d'électricité,Géographie,GeoCode,Value
2015,,,,81.4444166666667
2016,,,,78.76575
2017,,,,79.9753333333333
2018,,,,79.5969166666667
2019,,,,79.3599166666667
2020,,,,82.3359166666667
2021,,,,81.64925
2022,,,,82.0549166666667
2023,,,,80.7290833333333
2024,,,,79.3978333333333
2015,Turbine à hydraulique,Alberta,48,3.24066666666667
2015,Total renewable and non-greenhouse gas emitting sources,Alberta,48,7.06583333333333
2015,Turbine éolienne,Alberta,48,3.82508333333333
2015,Turbine à hydraulique,Colombie-Britannique,59,90.90725
2015,Total renewable and non-greenhouse gas emitting sources,Colombie-Britannique,59,90.90725
2015,Turbine à hydraulique,Canada,,63.248
2015,Turbine à vapeur - nucléaire,Canada,,16.6659166666667
2015,Solaire,Canada,,0.0455
2015,Turbine marémotrice,Canada,,0.00225
2015,Turbine éolienne,Canada,,1.48258333333333
2015,Turbine à hydraulique,Manitoba,46,98.4231666666667
2015,Total renewable and non-greenhouse gas emitting sources,Manitoba,46,99.5596666666667
2015,Turbine éolienne,Manitoba,46,1.1365
2015,Turbine à hydraulique,Nouveau-Brunswick,13,20.7531666666667
2015,Turbine à vapeur - nucléaire,Nouveau-Brunswick,13,30.69575
2015,Total renewable and non-greenhouse gas emitting sources,Nouveau-Brunswick,13,56.2025833333333
2015,Turbine éolienne,Nouveau-Brunswick,13,4.75341666666667
2015,Turbine à hydraulique,Terre-Neuve-et-Labrador,10,95.7331666666667
2015,Total renewable and non-greenhouse gas emitting sources,Terre-Neuve-et-Labrador,10,95.9671666666667
2015,Turbine éolienne,Terre-Neuve-et-Labrador,10,0.233916666666667
2015,Turbine à hydraulique,Territoires du Nord-Ouest,61,24.9920833333333
2015,Total renewable and non-greenhouse gas emitting sources,Territoires du Nord-Ouest,61,28.3309166666667
2015,Turbine éolienne,Territoires du Nord-Ouest,61,3.33866666666667
2015,Turbine à hydraulique,Nouvelle-Écosse,12,10.3128333333333
2015,Turbine marémotrice,Nouvelle-Écosse,12,0.1475
2015,Total renewable and non-greenhouse gas emitting sources,Nouvelle-Écosse,12,15.50875
2015,Turbine éolienne,Nouvelle-Écosse,12,5.04841666666667
2015,Turbine à hydraulique,Nunavut,62,
2015,Total renewable and non-greenhouse gas emitting sources,Nunavut,62,
2015,Turbine à hydraulique,Ontario,35,25.1178333333333
2015,Turbine à vapeur - nucléaire,Ontario,35,65.6689166666667
2015,Solaire,Ontario,35,0.18475
2015,Total renewable and non-greenhouse gas emitting sources,Ontario,35,93.0966666666667
2015,Turbine éolienne,Ontario,35,2.12541666666667
2015,Total renewable and non-greenhouse gas emitting sources,Île-du-Prince-Édouard,11,98.5833333333333
2015,Turbine éolienne,Île-du-Prince-Édouard,11,98.5833333333333
2015,Turbine à hydraulique,Québec,24,98.9861666666667
2015,Turbine à vapeur - nucléaire,Québec,24,
2015,Total renewable and non-greenhouse gas emitting sources,Québec,24,
2015,Turbine éolienne,Québec,24,0.389083333333333
