Year,Country of origin,Value
1980 to 1990,Canada,0.0
1991 to 2000,Canada,0.0977652174819851
2001 to 2010,Canada,0.0588132855212689
2011 to 2015,Canada,0.0280076678272671
2016 to 2021,Canada,0.0653767588080603
1980 to 1990,United States of America,0.280218068226603
1991 to 2000,United States of America,0.431638811548717
2001 to 2010,United States of America,1.02550590713906
2011 to 2015,United States of America,0.981204727549243
2016 to 2021,United States of America,0.549735947272691
1980 to 1990,Belize,65.5037923966473
1991 to 2000,Belize,26.986183074266
2001 to 2010,Belize,10.9279380542026
2011 to 2015,Belize,5.61241241128881
2016 to 2021,Belize,0.0
1980 to 1990,Costa Rica,5.76574545002604
1991 to 2000,Costa Rica,3.80914748993687
2001 to 2010,Costa Rica,6.69407653238934
2011 to 2015,Costa Rica,0.518880666475234
2016 to 2021,Costa Rica,0.296442541283329
1980 to 1990,El Salvador,268.273463100116
1991 to 2000,El Salvador,173.841009547651
2001 to 2010,El Salvador,18.1238533058609
2011 to 2015,El Salvador,14.4714957212476
2016 to 2021,El Salvador,18.9388899556998
1980 to 1990,Guatemala,33.396885261373
1991 to 2000,Guatemala,34.0125241292367
2001 to 2010,Guatemala,4.79283653686183
2011 to 2015,Guatemala,3.72519038853298
2016 to 2021,Guatemala,1.56259539822474
1980 to 1990,Honduras,5.72200339184299
1991 to 2000,Honduras,20.5954360969597
2001 to 2010,Honduras,5.43846422551339
2011 to 2015,Honduras,6.60322161440108
2016 to 2021,Honduras,6.46224496543744
1980 to 1990,Mexico,0.827086366109116
1991 to 2000,Mexico,1.45497702368217
2001 to 2010,Mexico,4.97669840283623
2011 to 2015,Mexico,2.8824918896259
2016 to 2021,Mexico,0.885238069600511
1980 to 1990,Nicaragua,79.5751383743243
1991 to 2000,Nicaragua,41.4948618514649
2001 to 2010,Nicaragua,2.78861756027335
2011 to 2015,Nicaragua,1.46353195467539
2016 to 2021,Nicaragua,1.50492690494776
1980 to 1990,Panama,2.03613487846107
1991 to 2000,Panama,27.8957767288449
2001 to 2010,Panama,2.06690716279788
2011 to 2015,Panama,0.378783143998579
2016 to 2021,Panama,0.690379674301882
1980 to 1990,Antigua and Barbuda,0.0
1991 to 2000,Antigua and Barbuda,0.0
2001 to 2010,Antigua and Barbuda,23.4355317815105
2011 to 2015,Antigua and Barbuda,22.3641100761498
2016 to 2021,Antigua and Barbuda,54.1131397525947
1980 to 1990,Bahamas,0.0
1991 to 2000,Bahamas,0.0
2001 to 2010,Bahamas,2.72118099255077
2011 to 2015,Bahamas,12.973651810538
2016 to 2021,Bahamas,40.3497312960082
1980 to 1990,Barbados,0.0
1991 to 2000,Barbados,9.53878086749489
2001 to 2010,Barbados,12.7143965111696
2011 to 2015,Barbados,10.7519174252742
2016 to 2021,Barbados,37.200865185836
1980 to 1990,Bermuda,0.0
1991 to 2000,Bermuda,0.0
2001 to 2010,Bermuda,0.0
2011 to 2015,Bermuda,15.7546062530032
2016 to 2021,Bermuda,0.0
1980 to 1990,Cuba,2.11624794506446
1991 to 2000,Cuba,8.14580468331564
2001 to 2010,Cuba,11.5057392840191
2011 to 2015,Cuba,5.32119415223821
2016 to 2021,Cuba,3.37153098120048
1980 to 1990,Curaçao,0.0
1991 to 2000,Curaçao,0.0
2001 to 2010,Curaçao,6.37393316293685
2011 to 2015,Curaçao,0.0
2016 to 2021,Curaçao,8.09369258536822
1980 to 1990,Dominica,14.3601820871089
1991 to 2000,Dominica,0.0
2001 to 2010,Dominica,36.2931616424833
2011 to 2015,Dominica,21.2992545260916
2016 to 2021,Dominica,14.8782955424627
1980 to 1990,Dominican Republic,0.489428313469885
1991 to 2000,Dominican Republic,1.16491870614809
2001 to 2010,Dominican Republic,1.78201387934239
2011 to 2015,Dominican Republic,1.05415086758054
2016 to 2021,Dominican Republic,1.12373686919087
1980 to 1990,Grenada,15.0042011763294
1991 to 2000,Grenada,65.1035611647957
2001 to 2010,Grenada,263.67300971568
2011 to 2015,Grenada,52.2939617905453
2016 to 2021,Grenada,12.8531950900795
1980 to 1990,Haiti,2.91773121305696
1991 to 2000,Haiti,17.279609121996
2001 to 2010,Haiti,28.5026986803811
2011 to 2015,Haiti,61.0655327661456
2016 to 2021,Haiti,17.9754445758151
1980 to 1990,Jamaica,1.26055345860153
1991 to 2000,Jamaica,2.68415611665496
2001 to 2010,Jamaica,14.5509177536657
2011 to 2015,Jamaica,20.5129375989303
2016 to 2021,Jamaica,19.9066571560997
1980 to 1990,Saint Kitts and Nevis,0.0
1991 to 2000,Saint Kitts and Nevis,0.0
2001 to 2010,Saint Kitts and Nevis,0.0
2011 to 2015,Saint Kitts and Nevis,42.4560844876081
2016 to 2021,Saint Kitts and Nevis,0.0
1980 to 1990,Saint Lucia,0.0
1991 to 2000,Saint Lucia,12.6074787563983
2001 to 2010,Saint Lucia,178.142239277151
2011 to 2015,Saint Lucia,387.277920317568
2016 to 2021,Saint Lucia,204.039421534265
1980 to 1990,Saint Vincent and the Grenadines,0.0
1991 to 2000,Saint Vincent and the Grenadines,44.0160218319468
2001 to 2010,Saint Vincent and the Grenadines,865.500344847794
2011 to 2015,Saint Vincent and the Grenadines,1008.79222582138
2016 to 2021,Saint Vincent and the Grenadines,368.142141618469
1980 to 1990,Trinidad and Tobago,1.59715259635122
1991 to 2000,Trinidad and Tobago,20.4538559116757
2001 to 2010,Trinidad and Tobago,14.0606511595711
2011 to 2015,Trinidad and Tobago,8.74545717227186
2016 to 2021,Trinidad and Tobago,5.37707584533513
1980 to 1990,Argentina,0.686894414803509
1991 to 2000,Argentina,2.01533080956591
2001 to 2010,Argentina,0.653927774185952
2011 to 2015,Argentina,0.0805022475422491
2016 to 2021,Argentina,0.0662071719735595
1980 to 1990,Brazil,0.01676240817821
1991 to 2000,Brazil,0.0603384516497629
2001 to 2010,Brazil,0.141970506071344
2011 to 2015,Brazil,0.0396676619481388
2016 to 2021,Brazil,0.0620375743071749
1980 to 1990,Chile,18.1924773027454
1991 to 2000,Chile,10.0933880246627
2001 to 2010,Chile,1.74603725205398
2011 to 2015,Chile,0.637198878164278
2016 to 2021,Chile,0.462572156116664
1980 to 1990,Colombia,0.184956110762632
1991 to 2000,Colombia,2.91626676719089
2001 to 2010,Colombia,57.8418066874369
2011 to 2015,Colombia,10.6652587105973
2016 to 2021,Colombia,6.46591927737355
