Year,Value,Units,Series
2015,1172780.8,Tonnes métriques,Volume de fret aérien
2016,1223213.3,Tonnes métriques,Volume de fret aérien
2017,1316626.7,Tonnes métriques,Volume de fret aérien
2018,1444698.9,Tonnes métriques,Volume de fret aérien
2019,1377025.8,Tonnes métriques,Volume de fret aérien
2020,1186628.5,Tonnes métriques,Volume de fret aérien
2021,1299219.8,Tonnes métriques,Volume de fret aérien
2022,1473149.8,Tonnes métriques,Volume de fret aérien
2023,1434183.8,Tonnes métriques,Volume de fret aérien
2015,133426703.0,Nombre de passagers,Passagers aériens
2016,140892544.0,Nombre de passagers,Passagers aériens
2017,150808451.0,Nombre de passagers,Passagers aériens
2018,160641587.0,Nombre de passagers,Passagers aériens
2019,162864077.0,Nombre de passagers,Passagers aériens
2020,46349535.0,Nombre de passagers,Passagers aériens
2021,46280911.0,Nombre de passagers,Passagers aériens
2022,118882897.0,Nombre de passagers,Passagers aériens
2023,150705583.0,Nombre de passagers,Passagers aériens
2015,304908351.0,Tonnes métriques,Volume de fret ferroviaire
2016,292888995.0,Tonnes métriques,Volume de fret ferroviaire
2017,311701985.0,Tonnes métriques,Volume de fret ferroviaire
2018,328539280.0,Tonnes métriques,Volume de fret ferroviaire
2019,330244510.0,Tonnes métriques,Volume de fret ferroviaire
2020,321764297.0,Tonnes métriques,Volume de fret ferroviaire
2021,321060103.0,Tonnes métriques,Volume de fret ferroviaire
2022,315660251.0,Tonnes métriques,Volume de fret ferroviaire
2023,325563272.0,Tonnes métriques,Volume de fret ferroviaire
2015,3921000.0,Nombre de passagers,Passagers ferroviaires
2016,4080000.0,Nombre de passagers,Passagers ferroviaires
2017,4496000.0,Nombre de passagers,Passagers ferroviaires
2018,4838000.0,Nombre de passagers,Passagers ferroviaires
2019,5102000.0,Nombre de passagers,Passagers ferroviaires
2020,1125000.0,Nombre de passagers,Passagers ferroviaires
2021,1549000.0,Nombre de passagers,Passagers ferroviaires
2022,3377000.0,Nombre de passagers,Passagers ferroviaires
2023,4187000.0,Nombre de passagers,Passagers ferroviaires
2015,729215433.594,Tonnes métriques,Volume de fret routier
2016,755515777.679,Tonnes métriques,Volume de fret routier
2017,751948221.713,Tonnes métriques,Volume de fret routier
2018,753715221.437,Tonnes métriques,Volume de fret routier
