Year,Value,Units,Series
2020,4.0,Pourcentage (%),Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface
2015,1.0,Pourcentage (%),Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface
2020,57.0,Nombre,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface
2015,18.0,Nombre,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface
2015,916917.6,Kilomètres carrés,Eau permanente
2016,914878.3,Kilomètres carrés,Eau permanente
2017,916342.4,Kilomètres carrés,Eau permanente
2018,914773.6,Kilomètres carrés,Eau permanente
2019,914479.7,Kilomètres carrés,Eau permanente
2020,919584.5,Kilomètres carrés,Eau permanente
2015,81623.6,Kilomètres carrés,Eau saisonnière
2016,95379.5,Kilomètres carrés,Eau saisonnière
2017,98646.4,Kilomètres carrés,Eau saisonnière
2018,92557.1,Kilomètres carrés,Eau saisonnière
2019,94042.2,Kilomètres carrés,Eau saisonnière
2020,103943.7,Kilomètres carrés,Eau saisonnière
2016/18 (baseline),8.17,Pourcentage (%),Étendue des millieux humides
