Year,Value,Units,Series
2015-2016,-0.01,Pourcentage (%),Taux de variation nette de la superficie forestière
2016-2017,-0.01,Pourcentage (%),Taux de variation nette de la superficie forestière
2017-2018,-0.01,Pourcentage (%),Taux de variation nette de la superficie forestière
2018-2019,-0.01,Pourcentage (%),Taux de variation nette de la superficie forestière
2019-2020,-0.01,Pourcentage (%),Taux de variation nette de la superficie forestière
2010,91.16,Tonnes/hectare,Stock de biomasse aérienne en forêt
2015,90.49,Tonnes/hectare,Stock de biomasse aérienne en forêt
2016,90.43,Tonnes/hectare,Stock de biomasse aérienne en forêt
2017,90.43,Tonnes/hectare,Stock de biomasse aérienne en forêt
2018,90.43,Tonnes/hectare,Stock de biomasse aérienne en forêt
2019,90.43,Tonnes/hectare,Stock de biomasse aérienne en forêt
2020,90.43,Tonnes/hectare,Stock de biomasse aérienne en forêt
2010,8.13,Pourcentage (%),Proportion de la superficie forestière située dans des aires protégées légalement établies
2015,8.5,Pourcentage (%),Proportion de la superficie forestière située dans des aires protégées légalement établies
2016,8.5,Pourcentage (%),Proportion de la superficie forestière située dans des aires protégées légalement établies
2017,8.5,Pourcentage (%),Proportion de la superficie forestière située dans des aires protégées légalement établies
2018,8.5,Pourcentage (%),Proportion de la superficie forestière située dans des aires protégées légalement établies
2019,8.5,Pourcentage (%),Proportion de la superficie forestière située dans des aires protégées légalement établies
2020,8.5,Pourcentage (%),Proportion de la superficie forestière située dans des aires protégées légalement établies
2010,54.12,Pourcentage (%),Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme
2015,54.35,Pourcentage (%),Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme
2016,57.64,Pourcentage (%),Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme
2017,57.64,Pourcentage (%),Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme
2018,60.71,Pourcentage (%),Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme
2019,60.82,Pourcentage (%),Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme
2020,60.82,Pourcentage (%),Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme
2000,5.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2001,17.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2002,28.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2003,58.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2004,86.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2005,120.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2006,124.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2007,138.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2008,146.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2009,143.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2010,150.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2011,151.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2012,148.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2013,153.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2014,161.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2015,166.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2016,168.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2017,170.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2018,164.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2019,168.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2020,164.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2021,158.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2022,155.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
2023,160.0,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
"
