Year,Value,Units,Series
1990,41.1443,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1991,41.1383,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1992,41.1322,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1993,41.1266,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1994,41.118,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1995,41.1135,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1996,41.1096,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1997,41.1055,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1998,41.1014,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1999,41.0967,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2000,41.0917,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2001,41.0873,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2002,41.083,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2003,41.0772,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2004,41.0717,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2005,41.0663,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2006,41.0614,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2007,41.053,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2008,41.0477,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2009,41.0426,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2010,41.0379,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2011,41.0334,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2012,41.0288,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2013,41.024,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2014,41.018,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2015,41.0117,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2016,41.0054,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2017,40.9992,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2018,40.9934,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2019,40.9878,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2020,40.9821,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2021,40.9766,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2022,40.9711,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1990,368883000.0,Hectares,Superficie forestière
1991,368829000.0,Hectares,Superficie forestière
1992,368774000.0,Hectares,Superficie forestière
1993,368724000.0,Hectares,Superficie forestière
1994,368647000.0,Hectares,Superficie forestière
1995,368607000.0,Hectares,Superficie forestière
1996,368572000.0,Hectares,Superficie forestière
1997,368535000.0,Hectares,Superficie forestière
1998,368498000.0,Hectares,Superficie forestière
1999,368456000.0,Hectares,Superficie forestière
2000,368411000.0,Hectares,Superficie forestière
2001,368372000.0,Hectares,Superficie forestière
2002,368333000.0,Hectares,Superficie forestière
2003,368281000.0,Hectares,Superficie forestière
2004,368232000.0,Hectares,Superficie forestière
2005,368184000.0,Hectares,Superficie forestière
2006,368140000.0,Hectares,Superficie forestière
2007,368064000.0,Hectares,Superficie forestière
2008,368017000.0,Hectares,Superficie forestière
2009,367971000.0,Hectares,Superficie forestière
2010,367929000.0,Hectares,Superficie forestière
2011,367889000.0,Hectares,Superficie forestière
2012,367847000.0,Hectares,Superficie forestière
2013,367804000.0,Hectares,Superficie forestière
2014,367751000.0,Hectares,Superficie forestière
2015,367694000.0,Hectares,Superficie forestière
2016,367638000.0,Hectares,Superficie forestière
2017,367582000.0,Hectares,Superficie forestière
2018,367530000.0,Hectares,Superficie forestière
2019,367480000.0,Hectares,Superficie forestière
2020,367429000.0,Hectares,Superficie forestière
2021,367379000.0,Hectares,Superficie forestière
2022,367330000.0,Hectares,Superficie forestière
1990,896559000.0,Hectares,Superficie terrestre
1991,896559000.0,Hectares,Superficie terrestre
1992,896559000.0,Hectares,Superficie terrestre
1993,896559000.0,Hectares,Superficie terrestre
1994,896559000.0,Hectares,Superficie terrestre
1995,896559000.0,Hectares,Superficie terrestre
1996,896559000.0,Hectares,Superficie terrestre
1997,896559000.0,Hectares,Superficie terrestre
1998,896559000.0,Hectares,Superficie terrestre
1999,896559000.0,Hectares,Superficie terrestre
2000,896559000.0,Hectares,Superficie terrestre
2001,896559000.0,Hectares,Superficie terrestre
2002,896559000.0,Hectares,Superficie terrestre
2003,896559000.0,Hectares,Superficie terrestre
2004,896559000.0,Hectares,Superficie terrestre
2005,896559000.0,Hectares,Superficie terrestre
2006,896559000.0,Hectares,Superficie terrestre
2007,896559000.0,Hectares,Superficie terrestre
2008,896559000.0,Hectares,Superficie terrestre
2009,896559000.0,Hectares,Superficie terrestre
2010,896559000.0,Hectares,Superficie terrestre
2011,896559000.0,Hectares,Superficie terrestre
2012,896559000.0,Hectares,Superficie terrestre
2013,896559000.0,Hectares,Superficie terrestre
2014,896559000.0,Hectares,Superficie terrestre
2015,896559000.0,Hectares,Superficie terrestre
2016,896559000.0,Hectares,Superficie terrestre
2017,896559000.0,Hectares,Superficie terrestre
2018,896559000.0,Hectares,Superficie terrestre
2019,896559000.0,Hectares,Superficie terrestre
2020,896559000.0,Hectares,Superficie terrestre
2021,896559000.0,Hectares,Superficie terrestre
2022,896559000.0,Hectares,Superficie terrestre
