Year,Value,Units,Series,GeoCode
2015,11.49,Pourcentage (%),Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,
2016,11.2,Pourcentage (%),Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,
2017,11.29,Pourcentage (%),Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,
2018,11.54,Pourcentage (%),Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,
2019,11.11,Pourcentage (%),Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,
2020,10.63,Pourcentage (%),Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,
2021,11.53,Pourcentage (%),Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,
2022,11.3,Pourcentage (%),Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,
2023,10.61,Pourcentage (%),Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,
2015,6405.71,Dollars courants,Valeur ajoutée dans l’industrie manufacturière par habitant,
2016,6284.03,Dollars courants,Valeur ajoutée dans l’industrie manufacturière par habitant,
2017,6611.11,Dollars courants,Valeur ajoutée dans l’industrie manufacturière par habitant,
2018,6958.42,Dollars courants,Valeur ajoutée dans l’industrie manufacturière par habitant,
2019,6833.93,Dollars courants,Valeur ajoutée dans l’industrie manufacturière par habitant,
2020,6206.95,Dollars courants,Valeur ajoutée dans l’industrie manufacturière par habitant,
2021,7648.24,Dollars courants,Valeur ajoutée dans l’industrie manufacturière par habitant,
2022,8268.97,Dollars courants,Valeur ajoutée dans l’industrie manufacturière par habitant,
2023,7775.39,Dollars courants,Valeur ajoutée dans l’industrie manufacturière par habitant,
