Year,Comportements non désirés ou inappropriés,Sexe,Value
2018,Agression sexuelle,Femmes,2.9
2018,Agression sexuelle,Hommes,1.0
2018,Agression physique,Femmes,2.0
2018,Agression physique,Hommes,3.6
2018,Comportements non désirés ou inappropriés en public,Femmes,31.8
2018,Comportements non désirés ou inappropriés en public,Hommes,13.4
2018,Comportements non désirés ou inappropriés en ligne,Femmes,18.4
2018,Comportements non désirés ou inappropriés en ligne,Hommes,13.6
2018,Comportements non désirés ou inappropriés dans le milieu de travail,Femmes,28.8
2018,Comportements non désirés ou inappropriés dans le milieu de travail,Hommes,16.8
