Year,Causes of death,Age at time of death,Sex,Value
2015,Malignant neoplasms,All ages,Both sexes,215.9
2015,Diabetes mellitus,All ages,Both sexes,20.1
2015,Diseases of heart,All ages,Both sexes,144.6
2015,Essential hypertension and hypertensive renal disease,All ages,Both sexes,4.2
2015,Cerebrovascular diseases,All ages,Both sexes,38.7
2015,Atherosclerosis,All ages,Both sexes,1.6
2015,Aortic aneurysm and dissection,All ages,Both sexes,4.2
2015,Chronic lower respiratory diseases,All ages,Both sexes,35.2
2015,Pneumoconioses and chemical effects,All ages,Both sexes,0.3
2015,Pneumonitis due to solids and liquids,All ages,Both sexes,3.6
2015,Malignant neoplasms,All ages,Males,228.3
2015,Diabetes mellitus,All ages,Males,22.3
2015,Diseases of heart,All ages,Males,154.5
2015,Essential hypertension and hypertensive renal disease,All ages,Males,3.2
2015,Cerebrovascular diseases,All ages,Males,32.6
2015,Atherosclerosis,All ages,Males,1.4
2015,Aortic aneurysm and dissection,All ages,Males,5.0
2015,Chronic lower respiratory diseases,All ages,Males,35.2
2015,Pneumoconioses and chemical effects,All ages,Males,0.6
2015,Pneumonitis due to solids and liquids,All ages,Males,4.1
2015,Malignant neoplasms,All ages,Females,203.7
2015,Diabetes mellitus,All ages,Females,17.9
2015,Diseases of heart,All ages,Females,134.9
2015,Essential hypertension and hypertensive renal disease,All ages,Females,5.2
2015,Cerebrovascular diseases,All ages,Females,44.7
2015,Atherosclerosis,All ages,Females,1.8
2015,Aortic aneurysm and dissection,All ages,Females,3.3
2015,Chronic lower respiratory diseases,All ages,Females,35.3
2015,Pneumoconioses and chemical effects,All ages,Females,0.0
2015,Pneumonitis due to solids and liquids,All ages,Females,3.1
2015,Malignant neoplasms,1 to 14 years,Both sexes,2.4
2015,Diabetes mellitus,1 to 14 years,Both sexes,0.1
2015,Diseases of heart,1 to 14 years,Both sexes,0.3
2015,Essential hypertension and hypertensive renal disease,1 to 14 years,Both sexes,0.0
2015,Cerebrovascular diseases,1 to 14 years,Both sexes,0.2
2015,Atherosclerosis,1 to 14 years,Both sexes,0.0
2015,Aortic aneurysm and dissection,1 to 14 years,Both sexes,0.0
2015,Chronic lower respiratory diseases,1 to 14 years,Both sexes,0.2
2015,Pneumoconioses and chemical effects,1 to 14 years,Both sexes,0.0
2015,Pneumonitis due to solids and liquids,1 to 14 years,Both sexes,0.1
2015,Malignant neoplasms,1 to 14 years,Males,2.5
2015,Diabetes mellitus,1 to 14 years,Males,0.1
2015,Diseases of heart,1 to 14 years,Males,0.5
2015,Essential hypertension and hypertensive renal disease,1 to 14 years,Males,0.0
2015,Cerebrovascular diseases,1 to 14 years,Males,0.3
2015,Atherosclerosis,1 to 14 years,Males,0.0
2015,Aortic aneurysm and dissection,1 to 14 years,Males,0.0
2015,Chronic lower respiratory diseases,1 to 14 years,Males,0.2
2015,Pneumoconioses and chemical effects,1 to 14 years,Males,0.0
2015,Pneumonitis due to solids and liquids,1 to 14 years,Males,0.1
2015,Malignant neoplasms,1 to 14 years,Females,2.3
2015,Diabetes mellitus,1 to 14 years,Females,0.0
2015,Diseases of heart,1 to 14 years,Females,0.2
2015,Essential hypertension and hypertensive renal disease,1 to 14 years,Females,0.0
2015,Cerebrovascular diseases,1 to 14 years,Females,0.2
2015,Atherosclerosis,1 to 14 years,Females,0.0
2015,Aortic aneurysm and dissection,1 to 14 years,Females,0.0
2015,Chronic lower respiratory diseases,1 to 14 years,Females,0.2
2015,Pneumoconioses and chemical effects,1 to 14 years,Females,0.0
2015,Pneumonitis due to solids and liquids,1 to 14 years,Females,0.0
2015,Malignant neoplasms,1 to 4 years,Both sexes,2.1
2015,Diabetes mellitus,1 to 4 years,Both sexes,0.0
2015,Diseases of heart,1 to 4 years,Both sexes,0.6
2015,Essential hypertension and hypertensive renal disease,1 to 4 years,Both sexes,0.0
2015,Cerebrovascular diseases,1 to 4 years,Both sexes,0.1
2015,Atherosclerosis,1 to 4 years,Both sexes,0.0
2015,Aortic aneurysm and dissection,1 to 4 years,Both sexes,0.0
2015,Chronic lower respiratory diseases,1 to 4 years,Both sexes,0.0
2015,Pneumoconioses and chemical effects,1 to 4 years,Both sexes,0.0
2015,Pneumonitis due to solids and liquids,1 to 4 years,Both sexes,0.1
2015,Malignant neoplasms,1 to 4 years,Males,2.1
2015,Diabetes mellitus,1 to 4 years,Males,0.0
2015,Diseases of heart,1 to 4 years,Males,0.9
2015,Essential hypertension and hypertensive renal disease,1 to 4 years,Males,0.0
2015,Cerebrovascular diseases,1 to 4 years,Males,0.3
2015,Atherosclerosis,1 to 4 years,Males,0.0
2015,Aortic aneurysm and dissection,1 to 4 years,Males,0.0
2015,Chronic lower respiratory diseases,1 to 4 years,Males,0.0
2015,Pneumoconioses and chemical effects,1 to 4 years,Males,0.0
2015,Pneumonitis due to solids and liquids,1 to 4 years,Males,0.1
2015,Malignant neoplasms,1 to 4 years,Females,2.0
2015,Diabetes mellitus,1 to 4 years,Females,0.0
2015,Diseases of heart,1 to 4 years,Females,0.4
2015,Essential hypertension and hypertensive renal disease,1 to 4 years,Females,0.0
2015,Cerebrovascular diseases,1 to 4 years,Females,0.0
2015,Atherosclerosis,1 to 4 years,Females,0.0
2015,Aortic aneurysm and dissection,1 to 4 years,Females,0.0
2015,Chronic lower respiratory diseases,1 to 4 years,Females,0.0
2015,Pneumoconioses and chemical effects,1 to 4 years,Females,0.0
2015,Pneumonitis due to solids and liquids,1 to 4 years,Females,0.0
2015,Malignant neoplasms,5 to 9 years,Both sexes,2.7
2015,Diabetes mellitus,5 to 9 years,Both sexes,0.0
2015,Diseases of heart,5 to 9 years,Both sexes,0.1
2015,Essential hypertension and hypertensive renal disease,5 to 9 years,Both sexes,0.0
2015,Cerebrovascular diseases,5 to 9 years,Both sexes,0.3
2015,Atherosclerosis,5 to 9 years,Both sexes,0.0
2015,Aortic aneurysm and dissection,5 to 9 years,Both sexes,0.0
2015,Chronic lower respiratory diseases,5 to 9 years,Both sexes,0.2
2015,Pneumoconioses and chemical effects,5 to 9 years,Both sexes,0.0
2015,Pneumonitis due to solids and liquids,5 to 9 years,Both sexes,0.0
2015,Malignant neoplasms,5 to 9 years,Males,2.9
2015,Diabetes mellitus,5 to 9 years,Males,0.0
2015,Diseases of heart,5 to 9 years,Males,0.0
2015,Essential hypertension and hypertensive renal disease,5 to 9 years,Males,0.0
2015,Cerebrovascular diseases,5 to 9 years,Males,0.3
2015,Atherosclerosis,5 to 9 years,Males,0.0
2015,Aortic aneurysm and dissection,5 to 9 years,Males,0.0
2015,Chronic lower respiratory diseases,5 to 9 years,Males,0.1
2015,Pneumoconioses and chemical effects,5 to 9 years,Males,0.0
2015,Pneumonitis due to solids and liquids,5 to 9 years,Males,0.0
2015,Malignant neoplasms,5 to 9 years,Females,2.6
2015,Diabetes mellitus,5 to 9 years,Females,0.0
2015,Diseases of heart,5 to 9 years,Females,0.1
2015,Essential hypertension and hypertensive renal disease,5 to 9 years,Females,0.0
2015,Cerebrovascular diseases,5 to 9 years,Females,0.3
2015,Atherosclerosis,5 to 9 years,Females,0.0
2015,Aortic aneurysm and dissection,5 to 9 years,Females,0.0
2015,Chronic lower respiratory diseases,5 to 9 years,Females,0.2
2015,Pneumoconioses and chemical effects,5 to 9 years,Females,0.0
2015,Pneumonitis due to solids and liquids,5 to 9 years,Females,0.0
2015,Malignant neoplasms,10 to 14 years,Both sexes,2.4
2015,Diabetes mellitus,10 to 14 years,Both sexes,0.1
2015,Diseases of heart,10 to 14 years,Both sexes,0.2
2015,Essential hypertension and hypertensive renal disease,10 to 14 years,Both sexes,0.0
2015,Cerebrovascular diseases,10 to 14 years,Both sexes,0.1
2015,Atherosclerosis,10 to 14 years,Both sexes,0.0
2015,Aortic aneurysm and dissection,10 to 14 years,Both sexes,0.0
2015,Chronic lower respiratory diseases,10 to 14 years,Both sexes,0.3
2015,Pneumoconioses and chemical effects,10 to 14 years,Both sexes,0.0
