Year,Type of heritage,Level of government,Geography,GeoCode,Value
2015,,,,,202.21542
2016,,,,,205.22944
2017,,,,,222.73863
2018,,,,,216.06242
2019,,,,,236.55917
2020,,,,,236.953
2021,,,,,250.3147
2022,,,,,267.36751
2023,,,,,266.44801
2015,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Alberta,48,208.90826
2015,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,British Columbia,59,74.28435
2015,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Canada,,141.46677
2015,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Manitoba,46,139.91982
2015,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,New Brunswick,13,110.63899
2015,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,105.99075
2015,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Northwest Territories,61,542.40965
2015,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nova Scotia,12,147.21272
2015,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nunavut,62,739.92875
2015,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Ontario,35,147.05354
2015,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Prince Edward Island,11,103.70862
2015,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Quebec,24,133.56584
2015,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Saskatchewan,47,114.95175
2015,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Yukon,60,1778.65088
2016,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Alberta,48,182.10304
2016,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,British Columbia,59,75.7004
2016,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Canada,,140.23504
2016,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Manitoba,46,141.53743
2016,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,New Brunswick,13,93.01448
2016,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,98.18991
2016,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Northwest Territories,61,515.41771
2016,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nova Scotia,12,134.67885
2016,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nunavut,62,730.14414
2016,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Ontario,35,149.67751
2016,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Prince Edward Island,11,102.11654
2016,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Quebec,24,140.91124
2016,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Saskatchewan,47,118.89078
2016,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Yukon,60,1582.40162
2017,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Alberta,48,185.49504
2017,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,British Columbia,59,79.8508
2017,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Canada,,149.02145
2017,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Manitoba,46,144.5981
2017,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,New Brunswick,13,106.95229
2017,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,105.71184
2017,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Northwest Territories,61,492.65496
2017,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nova Scotia,12,119.7279
2017,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nunavut,62,823.24198
2017,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Ontario,35,160.74157
2017,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Prince Edward Island,11,100.17363
2017,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Quebec,24,157.00306
2017,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Saskatchewan,47,121.15243
2017,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Yukon,60,1239.47082
2018,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Alberta,48,188.23284
2018,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,British Columbia,59,70.70334
2018,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Canada,,145.49821
2018,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Manitoba,46,145.63606
