Year,Theme,Value
2011,Adaptation,117.94
2011,Cross-cutting,226.02
2011,Mitigation,101.87
2011,,445.83
2012,Adaptation,110.34
2012,Cross-cutting,204.74
2012,Mitigation,123.34
2012,,438.42
2013,Adaptation,55.3
2013,Cross-cutting,7.15
2013,Mitigation,4.95
2013,,67.4
2014,Adaptation,63.26
2014,Cross-cutting,3.97
2014,Mitigation,3.08
2014,,70.31
2015,Adaptation,36.17
2015,Cross-cutting,3.84
2015,Mitigation,1.55
2015,,41.55
2016,Adaptation,45.53
2016,Cross-cutting,134.03
2016,Mitigation,9.82
2016,,189.38
2017,Adaptation,84.67
2017,Cross-cutting,172.11
2017,Mitigation,20.85
2017,,277.63
2018,Adaptation,63.24
2018,Cross-cutting,211.06
2018,Mitigation,170.61
2018,,444.91
2019,Adaptation,47.0
2019,Cross-cutting,456.62
2019,Mitigation,121.74
2019,,625.37
2020,Adaptation,86.47
2020,Cross-cutting,413.25
2020,Mitigation,263.69
2020,,763.41
