Year,Series,Units,Highest level of education,Age group,Sex,Location,COMMENT_OBS,Progress,Value
2015,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.10703529766277,1.107
2016,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.10051534167466,1.101
2017,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.1101213296487,1.11
2018,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.11646375950327,1.116
2019,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.11718804071646,1.117
2020,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.14687396205219,1.147
2021,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.14066140693035,1.141
2022,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.1381043367827,1.138
2023,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.11708834229979,1.117
2024,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.12177485994813,1.122
2015,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.11715839800035,1.117
2016,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.11159771362158,1.112
2017,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.1145909008527,1.115
2018,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.13385077439924,1.134
2019,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.12378627664025,1.124
2020,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.15484909173478,1.155
2021,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.16944755629932,1.169
2022,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.17139456989497,1.171
2023,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.14433599571111,1.144
2024,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.14786857548566,1.148
2015,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.28277087502385,1.283
2016,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.28123661472403,1.281
2017,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.27806136178938,1.278
2018,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.32004076107509,1.32
2019,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.28798237666548,1.288
2020,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.31056621335261,1.311
2021,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.36756401969512,1.368
2022,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.37452567098064,1.375
2023,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.32126262458731,1.321
2024,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.33002025676522,1.33
2015,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.3717647688201,1.372
2016,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.47957216646553,1.48
2017,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.26305566306283,1.263
2018,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.36879127164433,1.369
2019,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.16997655046194,1.17
2020,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.34375497222709,1.344
2021,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.13603130058075,1.136
2022,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.22087228520994,1.221
2023,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.4370680568394,1.437
2024,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.28625381964094,1.286
2015,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted gender parity index,Lower secondary education,,,,,1.0685693025589,1.069
2018,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted gender parity index,Lower secondary education,,,,,1.09091019630432,1.091
2022,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted gender parity index,Lower secondary education,,,,,1.08587451805117,1.086
2018,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted location parity index,Lower secondary education,,,,,1.0964527462203,0.912
2015,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted wealth parity index,Lower secondary education,,,,,1.16122586829361,0.861
2018,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted wealth parity index,Lower secondary education,,,,,1.17405742289421,0.852
2022,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted wealth parity index,Lower secondary education,,,,,1.42621625989979,0.701
2016,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted gender parity index,Primary education,,,,,1.0,1.011
2021,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted gender parity index,Primary education,,,,,1.0,1.006
2016,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted location parity index,Primary education,,,,,1.18353718641201,0.845
2021,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted location parity index,Primary education,,,,,1.0,1.005
2016,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted wealth parity index,Primary education,,,,,1.12606624891939,0.888
2021,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted wealth parity index,Primary education,,,,,1.0,0.982
