Year,Source,Geography,GeoCode,Value
2005,Transport,British Columbia,59,19.659
2005,Heavy Industry,British Columbia,59,7.133
2005,Buildings,British Columbia,59,8.425
2005,Agriculture,British Columbia,59,2.921
2005,Waste,British Columbia,59,2.73
2005,"Light Manufacturing, Construction and Forest Resources",British Columbia,59,5.263
2005,Oil and Gas,Canada,,194.463
2005,Transport,Canada,,156.216
2005,Heavy Industry,Canada,,87.801
2005,Buildings,Canada,,84.62
2005,Agriculture,Canada,,65.682
2005,Waste,Canada,,23.567
2005,"Light Manufacturing, Construction and Forest Resources",Canada,,27.473
2005,Provincial Inventory Total,Manitoba,46,20.693
2005,Oil and Gas,Manitoba,46,0.964
2005,Transport,Manitoba,46,5.687
2005,Heavy Industry,Manitoba,46,1.576
2005,Buildings,Manitoba,46,2.682
2005,Agriculture,Manitoba,46,7.096
2005,Waste,Manitoba,46,1.294
2005,"Light Manufacturing, Construction and Forest Resources",Manitoba,46,1.028
2005,Provincial Inventory Total,New Brunswick,13,19.841
2005,Oil and Gas,New Brunswick,13,2.651
2005,Transport,New Brunswick,13,4.395
2005,Heavy Industry,New Brunswick,13,1.299
2005,Buildings,New Brunswick,13,1.439
2005,Agriculture,New Brunswick,13,0.542
2005,Waste,New Brunswick,13,0.813
2005,"Light Manufacturing, Construction and Forest Resources",New Brunswick,13,0.681
2005,Provincial Inventory Total,Newfoundland and Labrador,10,10.273
2005,Oil and Gas,Newfoundland and Labrador,10,2.532
2005,Transport,Newfoundland and Labrador,10,3.339
2005,Heavy Industry,Newfoundland and Labrador,10,1.789
2005,Buildings,Newfoundland and Labrador,10,0.798
2005,Agriculture,Newfoundland and Labrador,10,0.077
2005,Waste,Newfoundland and Labrador,10,0.631
2005,"Light Manufacturing, Construction and Forest Resources",Newfoundland and Labrador,10,0.284
2005,Territorial Inventory Total,Northwest Territories,61,1.722
2005,Oil and Gas,Northwest Territories,61,0.254
2005,Transport,Northwest Territories,61,0.75
2005,Heavy Industry,Northwest Territories,61,0.324
2005,Buildings,Northwest Territories,61,0.251
2005,Agriculture,Northwest Territories,61,0.002
2005,Waste,Northwest Territories,61,0.031
2005,Provincial Inventory Total,Nova Scotia,12,21.987
2005,Oil and Gas,Nova Scotia,12,1.394
2005,Transport,Nova Scotia,12,4.952
2005,Heavy Industry,Nova Scotia,12,1.036
2005,Agriculture,Nova Scotia,12,0.549
2005,Waste,Nova Scotia,12,0.625
2005,Territorial Inventory Total,Nunavut,62,0.586
2005,Transport,Nunavut,62,0.332
2005,Heavy Industry,Nunavut,62,0.097
2005,Waste,Nunavut,62,0.023
2005,Provincial Inventory Total,Ontario,35,202.422
2005,Oil and Gas,Ontario,35,11.671
2005,Transport,Ontario,35,57.019
2005,Heavy Industry,Ontario,35,34.52
2005,Buildings,Ontario,35,36.016
2005,Agriculture,Ontario,35,10.979
2005,Waste,Ontario,35,7.98
2005,"Light Manufacturing, Construction and Forest Resources",Ontario,35,11.459
2005,Provincial Inventory Total,Prince Edward Island,11,1.896
2005,Oil and Gas,Prince Edward Island,11,0.0
2005,Transport,Prince Edward Island,11,0.711
2005,Heavy Industry,Prince Edward Island,11,0.002
2005,Buildings,Prince Edward Island,11,0.479
2005,Agriculture,Prince Edward Island,11,0.394
2005,Waste,Prince Edward Island,11,0.091
2005,"Light Manufacturing, Construction and Forest Resources",Prince Edward Island,11,0.213
2005,Provincial Inventory Total,Quebec,24,84.502
2005,Oil and Gas,Quebec,24,4.195
2005,Transport,Quebec,24,30.115
2005,Heavy Industry,Quebec,24,19.918
2005,Buildings,Quebec,24,12.179
2005,Agriculture,Quebec,24,8.188
2005,Waste,Quebec,24,4.659
2005,"Light Manufacturing, Construction and Forest Resources",Quebec,24,4.601
2005,Provincial Inventory Total,Saskatchewan,47,80.455
2005,Oil and Gas,Saskatchewan,47,37.672
2005,Transport,Saskatchewan,47,6.939
2005,Heavy Industry,Saskatchewan,47,2.356
2005,Buildings,Saskatchewan,47,3.371
2005,Agriculture,Saskatchewan,47,13.829
2005,Waste,Saskatchewan,47,1.376
2005,"Light Manufacturing, Construction and Forest Resources",Saskatchewan,47,0.577
2005,Territorial Inventory Total,Yukon,60,0.565
2005,Oil and Gas,Yukon,60,0.079
2005,Transport,Yukon,60,0.273
2005,Heavy Industry,Yukon,60,0.047
2005,Buildings,Yukon,60,0.09
2005,Agriculture,Yukon,60,0.01
2005,Waste,Yukon,60,0.027
2005,"Light Manufacturing, Construction and Forest Resources",Yukon,60,0.017
2006,Provincial Inventory Total,Alberta,48,259.486
2006,Oil and Gas,Alberta,48,126.072
2006,Transport,Alberta,48,23.722
2006,Heavy Industry,Alberta,48,17.601
2006,Buildings,Alberta,48,16.419
2006,Agriculture,Alberta,48,20.453
2006,Waste,Alberta,48,3.306
2006,"Light Manufacturing, Construction and Forest Resources",Alberta,48,3.29
2006,Provincial Inventory Total,British Columbia,59,61.875
2006,Oil and Gas,British Columbia,59,14.992
2006,Transport,British Columbia,59,19.581
2006,Heavy Industry,British Columbia,59,6.77
2006,Buildings,British Columbia,59,8.341
2006,Agriculture,British Columbia,59,2.713
2006,Waste,British Columbia,59,2.867
2006,"Light Manufacturing, Construction and Forest Resources",British Columbia,59,3.534
2006,Oil and Gas,Canada,,202.193
2006,Transport,Canada,,157.092
2006,Heavy Industry,Canada,,87.759
2006,Buildings,Canada,,79.499
2006,Agriculture,Canada,,64.302
2006,Waste,Canada,,23.765
2006,"Light Manufacturing, Construction and Forest Resources",Canada,,26.043
2006,Provincial Inventory Total,Manitoba,46,21.093
2006,Oil and Gas,Manitoba,46,0.976
2006,Transport,Manitoba,46,5.836
2006,Heavy Industry,Manitoba,46,1.631
2006,Buildings,Manitoba,46,2.368
2006,Agriculture,Manitoba,46,7.526
2006,Waste,Manitoba,46,1.307
2006,"Light Manufacturing, Construction and Forest Resources",Manitoba,46,1.017
2006,Provincial Inventory Total,New Brunswick,13,18.953
2006,Oil and Gas,New Brunswick,13,2.755
2006,Transport,New Brunswick,13,4.331
2006,Heavy Industry,New Brunswick,13,1.103
2006,Buildings,New Brunswick,13,1.453
2006,Agriculture,New Brunswick,13,0.536
2006,Waste,New Brunswick,13,0.789
2006,"Light Manufacturing, Construction and Forest Resources",New Brunswick,13,0.822
2006,Provincial Inventory Total,Newfoundland and Labrador,10,9.908
2006,Oil and Gas,Newfoundland and Labrador,10,2.882
2006,Transport,Newfoundland and Labrador,10,3.233
2006,Heavy Industry,Newfoundland and Labrador,10,1.466
2006,Buildings,Newfoundland and Labrador,10,0.695
2006,Agriculture,Newfoundland and Labrador,10,0.08
2006,Waste,Newfoundland and Labrador,10,0.636
2006,"Light Manufacturing, Construction and Forest Resources",Newfoundland and Labrador,10,0.271
2006,Territorial Inventory Total,Northwest Territories,61,1.629
2006,Oil and Gas,Northwest Territories,61,0.204
2006,Transport,Northwest Territories,61,0.709
2006,Heavy Industry,Northwest Territories,61,0.346
2006,Buildings,Northwest Territories,61,0.242
2006,Waste,Northwest Territories,61,0.032
2006,Provincial Inventory Total,Nova Scotia,12,21.062
2006,Oil and Gas,Nova Scotia,12,1.359
2006,Transport,Nova Scotia,12,4.892
2006,Heavy Industry,Nova Scotia,12,0.783
2006,Buildings,Nova Scotia,12,2.511
2006,Agriculture,Nova Scotia,12,0.501
2006,Waste,Nova Scotia,12,0.62
2006,"Light Manufacturing, Construction and Forest Resources",Nova Scotia,12,0.605
2006,Territorial Inventory Total,Nunavut,62,0.621
2006,Transport,Nunavut,62,0.337
2006,Heavy Industry,Nunavut,62,0.155
2006,Buildings,Nunavut,62,0.004
2006,Waste,Nunavut,62,0.023
2006,Provincial Inventory Total,Ontario,35,194.273
2006,Oil and Gas,Ontario,35,11.404
2006,Transport,Ontario,35,55.735
2006,Heavy Industry,Ontario,35,35.74
2006,Buildings,Ontario,35,32.577
2006,Agriculture,Ontario,35,10.967
2006,Waste,Ontario,35,7.813
2006,"Light Manufacturing, Construction and Forest Resources",Ontario,35,10.63
2006,Provincial Inventory Total,Prince Edward Island,11,1.852
2006,Oil and Gas,Prince Edward Island,11,0.0
2006,Transport,Prince Edward Island,11,0.707
2006,Heavy Industry,Prince Edward Island,11,0.004
2006,Buildings,Prince Edward Island,11,0.449
2006,Agriculture,Prince Edward Island,11,0.37
2006,Waste,Prince Edward Island,11,0.089
2006,"Light Manufacturing, Construction and Forest Resources",Prince Edward Island,11,0.223
2006,Provincial Inventory Total,Quebec,24,83.58
2006,Oil and Gas,Quebec,24,4.213
2006,Transport,Quebec,24,30.228
2006,Heavy Industry,Quebec,24,19.598
2006,Buildings,Quebec,24,11.061
2006,Agriculture,Quebec,24,7.852
2006,Waste,Quebec,24,4.879
2006,"Light Manufacturing, Construction and Forest Resources",Quebec,24,4.8
2006,Provincial Inventory Total,Saskatchewan,47,79.915
2006,Oil and Gas,Saskatchewan,47,37.243
2006,Transport,Saskatchewan,47,7.481
2006,Heavy Industry,Saskatchewan,47,2.51
2006,Buildings,Saskatchewan,47,3.288
2006,Agriculture,Saskatchewan,47,13.297
2006,Waste,Saskatchewan,47,1.378
2006,"Light Manufacturing, Construction and Forest Resources",Saskatchewan,47,0.818
2006,Territorial Inventory Total,Yukon,60,0.606
2006,Oil and Gas,Yukon,60,0.093
2006,Transport,Yukon,60,0.3
2006,Heavy Industry,Yukon,60,0.051
2006,Buildings,Yukon,60,0.092
2006,Agriculture,Yukon,60,0.008
2006,Waste,Yukon,60,0.027
2006,"Light Manufacturing, Construction and Forest Resources",Yukon,60,0.018
2007,Provincial Inventory Total,Alberta,48,267.799
2007,Oil and Gas,Alberta,48,130.208
2007,Transport,Alberta,48,25.982
2007,Heavy Industry,Alberta,48,16.752
2007,Buildings,Alberta,48,18.498
2007,Agriculture,Alberta,48,20.372
2007,Waste,Alberta,48,3.366
2007,"Light Manufacturing, Construction and Forest Resources",Alberta,48,3.289
2007,Provincial Inventory Total,British Columbia,59,62.733
2007,Oil and Gas,British Columbia,59,15.506
2007,Transport,British Columbia,59,20.056
2007,Heavy Industry,British Columbia,59,6.603
2007,Buildings,British Columbia,59,8.288
2007,Agriculture,British Columbia,59,2.617
2007,Waste,British Columbia,59,2.92
2007,"Light Manufacturing, Construction and Forest Resources",British Columbia,59,3.693
2007,Oil and Gas,Canada,,206.519
2007,Transport,Canada,,162.038
2007,Heavy Industry,Canada,,85.878
2007,Buildings,Canada,,85.317
2007,Agriculture,Canada,,64.178
2007,Waste,Canada,,23.202
2007,"Light Manufacturing, Construction and Forest Resources",Canada,,26.14
2007,Provincial Inventory Total,Manitoba,46,21.328
2007,Oil and Gas,Manitoba,46,0.882
2007,Transport,Manitoba,46,6.194
2007,Heavy Industry,Manitoba,46,1.659
2007,Buildings,Manitoba,46,2.608
2007,Agriculture,Manitoba,46,7.02
2007,Waste,Manitoba,46,1.326
2007,"Light Manufacturing, Construction and Forest Resources",Manitoba,46,1.135
2007,Provincial Inventory Total,New Brunswick,13,19.027
2007,Oil and Gas,New Brunswick,13,2.764
2007,Transport,New Brunswick,13,4.226
2007,Heavy Industry,New Brunswick,13,1.403
2007,Buildings,New Brunswick,13,1.555
2007,Agriculture,New Brunswick,13,0.516
2007,Waste,New Brunswick,13,0.715
2007,"Light Manufacturing, Construction and Forest Resources",New Brunswick,13,0.828
2007,Provincial Inventory Total,Newfoundland and Labrador,10,10.858
2007,Oil and Gas,Newfoundland and Labrador,10,2.998
2007,Transport,Newfoundland and Labrador,10,3.497
2007,Heavy Industry,Newfoundland and Labrador,10,1.396
2007,Buildings,Newfoundland and Labrador,10,0.906
2007,Agriculture,Newfoundland and Labrador,10,0.082
2007,Waste,Newfoundland and Labrador,10,0.641
2007,"Light Manufacturing, Construction and Forest Resources",Newfoundland and Labrador,10,0.292
2007,Territorial Inventory Total,Northwest Territories,61,1.783
2007,Oil and Gas,Northwest Territories,61,0.229
2007,Transport,Northwest Territories,61,0.829
2007,Heavy Industry,Northwest Territories,61,0.295
2007,Buildings,Northwest Territories,61,0.276
2007,Agriculture,Northwest Territories,61,0.0
2007,Waste,Northwest Territories,61,0.032
2007,Provincial Inventory Total,Nova Scotia,12,22.571
2007,Oil and Gas,Nova Scotia,12,1.231
2007,Transport,Nova Scotia,12,4.748
2007,Heavy Industry,Nova Scotia,12,0.739
2007,Buildings,Nova Scotia,12,2.888
2007,Agriculture,Nova Scotia,12,0.52
2007,Waste,Nova Scotia,12,0.506
2007,"Light Manufacturing, Construction and Forest Resources",Nova Scotia,12,0.654
2007,Territorial Inventory Total,Nunavut,62,0.645
2007,Transport,Nunavut,62,0.337
2007,Heavy Industry,Nunavut,62,0.175
2007,Buildings,Nunavut,62,0.005
2007,Waste,Nunavut,62,0.024
2007,Provincial Inventory Total,Ontario,35,198.087
2007,Oil and Gas,Ontario,35,11.131
2007,Transport,Ontario,35,55.311
2007,Heavy Industry,Ontario,35,34.843
2007,Buildings,Ontario,35,35.125
2007,Agriculture,Ontario,35,10.803
2007,Waste,Ontario,35,7.678
2007,"Light Manufacturing, Construction and Forest Resources",Ontario,35,10.653
2007,Provincial Inventory Total,Prince Edward Island,11,1.92
2007,Oil and Gas,Prince Edward Island,11,0.0
2007,Transport,Prince Edward Island,11,0.726
2007,Heavy Industry,Prince Edward Island,11,0.006
2007,Buildings,Prince Edward Island,11,0.524
2007,Agriculture,Prince Edward Island,11,0.344
2007,Waste,Prince Edward Island,11,0.085
2007,"Light Manufacturing, Construction and Forest Resources",Prince Edward Island,11,0.229
2007,Provincial Inventory Total,Quebec,24,85.841
2007,Oil and Gas,Quebec,24,4.276
2007,Transport,Quebec,24,31.845
2007,Heavy Industry,Quebec,24,19.334
2007,Buildings,Quebec,24,11.426
2007,Agriculture,Quebec,24,8.349
2007,Waste,Quebec,24,4.529
2007,"Light Manufacturing, Construction and Forest Resources",Quebec,24,4.462
2007,Provincial Inventory Total,Saskatchewan,47,81.125
2007,Oil and Gas,Saskatchewan,47,37.193
2007,Transport,Saskatchewan,47,7.95
2007,Heavy Industry,Saskatchewan,47,2.639
2007,Buildings,Saskatchewan,47,3.123
2007,Agriculture,Saskatchewan,47,13.554
2007,Waste,Saskatchewan,47,1.353
2007,"Light Manufacturing, Construction and Forest Resources",Saskatchewan,47,0.859
2007,Territorial Inventory Total,Yukon,60,0.626
2007,Oil and Gas,Yukon,60,0.1
2007,Transport,Yukon,60,0.337
2007,Heavy Industry,Yukon,60,0.035
2007,Buildings,Yukon,60,0.096
2007,Agriculture,Yukon,60,0.001
2007,Waste,Yukon,60,0.027
2007,"Light Manufacturing, Construction and Forest Resources",Yukon,60,0.014
2008,Provincial Inventory Total,Alberta,48,266.405
2008,Oil and Gas,Alberta,48,129.046
2008,Transport,Alberta,48,26.517
2008,Heavy Industry,Alberta,48,16.5
2008,Buildings,Alberta,48,18.311
2008,Agriculture,Alberta,48,20.325
2008,Waste,Alberta,48,3.498
2008,"Light Manufacturing, Construction and Forest Resources",Alberta,48,3.106
2008,Provincial Inventory Total,British Columbia,59,63.288
2008,Oil and Gas,British Columbia,59,16.102
2008,Transport,British Columbia,59,20.286
2008,Heavy Industry,British Columbia,59,6.442
2008,Buildings,British Columbia,59,8.484
2008,Agriculture,British Columbia,59,2.52
2008,Waste,British Columbia,59,2.929
2008,"Light Manufacturing, Construction and Forest Resources",British Columbia,59,3.24
2008,Oil and Gas,Canada,,202.827
2008,Transport,Canada,,162.596
2008,Heavy Industry,Canada,,84.191
2008,Buildings,Canada,,85.196
2008,Agriculture,Canada,,63.599
2008,Waste,Canada,,23.335
2008,"Light Manufacturing, Construction and Forest Resources",Canada,,24.595
2008,Provincial Inventory Total,Manitoba,46,21.229
2008,Oil and Gas,Manitoba,46,0.769
2008,Transport,Manitoba,46,5.793
2008,Heavy Industry,Manitoba,46,1.732
2008,Buildings,Manitoba,46,2.785
2008,Agriculture,Manitoba,46,7.23
2008,Waste,Manitoba,46,1.344
2008,"Light Manufacturing, Construction and Forest Resources",Manitoba,46,1.128
2008,Provincial Inventory Total,New Brunswick,13,17.927
2008,Oil and Gas,New Brunswick,13,2.825
2008,Transport,New Brunswick,13,4.134
2008,Heavy Industry,New Brunswick,13,1.019
2008,Buildings,New Brunswick,13,1.553
2008,Agriculture,New Brunswick,13,0.487
2008,Waste,New Brunswick,13,0.669
2008,"Light Manufacturing, Construction and Forest Resources",New Brunswick,13,0.69
2008,Provincial Inventory Total,Newfoundland and Labrador,10,10.488
2008,Oil and Gas,Newfoundland and Labrador,10,2.548
2008,Transport,Newfoundland and Labrador,10,3.74
2008,Heavy Industry,Newfoundland and Labrador,10,1.421
2008,Buildings,Newfoundland and Labrador,10,0.907
2008,Agriculture,Newfoundland and Labrador,10,0.086
2008,Waste,Newfoundland and Labrador,10,0.643
2008,"Light Manufacturing, Construction and Forest Resources",Newfoundland and Labrador,10,0.219
2008,Territorial Inventory Total,Northwest Territories,61,1.602
2008,Oil and Gas,Northwest Territories,61,0.128
2008,Transport,Northwest Territories,61,0.662
2008,Heavy Industry,Northwest Territories,61,0.32
2008,Buildings,Northwest Territories,61,0.35
2008,Waste,Northwest Territories,61,0.032
2008,Provincial Inventory Total,Nova Scotia,12,20.627
2008,Oil and Gas,Nova Scotia,12,1.368
2008,Transport,Nova Scotia,12,4.822
2008,Heavy Industry,Nova Scotia,12,0.757
2008,Buildings,Nova Scotia,12,2.699
2008,Agriculture,Nova Scotia,12,0.502
2008,Waste,Nova Scotia,12,0.507
2008,"Light Manufacturing, Construction and Forest Resources",Nova Scotia,12,0.591
2008,Territorial Inventory Total,Nunavut,62,0.623
2008,Transport,Nunavut,62,0.33
2008,Heavy Industry,Nunavut,62,0.135
2008,Buildings,Nunavut,62,0.005
2008,Waste,Nunavut,62,0.024
2008,Provincial Inventory Total,Ontario,35,189.941
2008,Oil and Gas,Ontario,35,10.317
2008,Transport,Ontario,35,54.563
2008,Heavy Industry,Ontario,35,34.168
2008,Buildings,Ontario,35,35.654
2008,Agriculture,Ontario,35,10.386
2008,Waste,Ontario,35,7.784
2008,"Light Manufacturing, Construction and Forest Resources",Ontario,35,10.232
2008,Provincial Inventory Total,Prince Edward Island,11,1.832
2008,Oil and Gas,Prince Edward Island,11,0.0
2008,Transport,Prince Edward Island,11,0.721
2008,Heavy Industry,Prince Edward Island,11,0.005
2008,Buildings,Prince Edward Island,11,0.48
2008,Agriculture,Prince Edward Island,11,0.327
2008,Waste,Prince Edward Island,11,0.088
2008,"Light Manufacturing, Construction and Forest Resources",Prince Edward Island,11,0.207
2008,Provincial Inventory Total,Quebec,24,82.543
2008,Oil and Gas,Quebec,24,4.08
2008,Transport,Quebec,24,32.139
2008,Heavy Industry,Quebec,24,18.634
2008,Buildings,Quebec,24,10.539
2008,Agriculture,Quebec,24,8.036
2008,Waste,Quebec,24,4.432
2008,"Light Manufacturing, Construction and Forest Resources",Quebec,24,4.191
2008,Provincial Inventory Total,Saskatchewan,47,80.644
2008,Oil and Gas,Saskatchewan,47,35.586
2008,Transport,Saskatchewan,47,8.55
2008,Heavy Industry,Saskatchewan,47,3.022
2008,Buildings,Saskatchewan,47,3.324
2008,Agriculture,Saskatchewan,47,13.7
2008,Waste,Saskatchewan,47,1.358
2008,"Light Manufacturing, Construction and Forest Resources",Saskatchewan,47,0.919
2008,Territorial Inventory Total,Yukon,60,0.621
2008,Oil and Gas,Yukon,60,0.057
2008,Transport,Yukon,60,0.338
2008,Heavy Industry,Yukon,60,0.035
2008,Buildings,Yukon,60,0.106
2008,Agriculture,Yukon,60,0.001
2008,Waste,Yukon,60,0.027
2008,"Light Manufacturing, Construction and Forest Resources",Yukon,60,0.039
2009,Provincial Inventory Total,Alberta,48,259.486
2009,Oil and Gas,Alberta,48,128.049
2009,Transport,Alberta,48,26.394
2009,Heavy Industry,Alberta,48,15.331
2009,Buildings,Alberta,48,18.274
2009,Agriculture,Alberta,48,19.034
2009,Waste,Alberta,48,3.607
2009,"Light Manufacturing, Construction and Forest Resources",Alberta,48,2.533
2009,Provincial Inventory Total,British Columbia,59,59.968
2009,Oil and Gas,British Columbia,59,15.732
2009,Transport,British Columbia,59,19.767
2009,Heavy Industry,British Columbia,59,5.937
2009,Buildings,British Columbia,59,8.162
2009,Agriculture,British Columbia,59,2.294
2009,Waste,British Columbia,59,3.009
2009,"Light Manufacturing, Construction and Forest Resources",British Columbia,59,2.28
2009,Oil and Gas,Canada,,197.869
2009,Transport,Canada,,161.461
2009,Heavy Industry,Canada,,71.11
2009,Buildings,Canada,,83.591
2009,Agriculture,Canada,,60.588
2009,Waste,Canada,,22.307
2009,"Light Manufacturing, Construction and Forest Resources",Canada,,21.135
2009,Provincial Inventory Total,Manitoba,46,19.712
2009,Oil and Gas,Manitoba,46,0.664
2009,Transport,Manitoba,46,5.724
2009,Heavy Industry,Manitoba,46,1.613
2009,Buildings,Manitoba,46,2.645
2009,Agriculture,Manitoba,46,6.564
2009,Waste,Manitoba,46,1.359
2009,"Light Manufacturing, Construction and Forest Resources",Manitoba,46,0.938
2009,Provincial Inventory Total,New Brunswick,13,17.584
2009,Oil and Gas,New Brunswick,13,3.183
2009,Transport,New Brunswick,13,3.867
2009,Heavy Industry,New Brunswick,13,1.027
2009,Buildings,New Brunswick,13,1.314
2009,Agriculture,New Brunswick,13,0.521
2009,Waste,New Brunswick,13,0.636
2009,"Light Manufacturing, Construction and Forest Resources",New Brunswick,13,0.614
2009,Provincial Inventory Total,Newfoundland and Labrador,10,9.903
2009,Oil and Gas,Newfoundland and Labrador,10,2.617
2009,Transport,Newfoundland and Labrador,10,3.44
2009,Heavy Industry,Newfoundland and Labrador,10,1.368
2009,Buildings,Newfoundland and Labrador,10,0.752
2009,Agriculture,Newfoundland and Labrador,10,0.086
2009,Waste,Newfoundland and Labrador,10,0.562
2009,"Light Manufacturing, Construction and Forest Resources",Newfoundland and Labrador,10,0.252
2009,Territorial Inventory Total,Northwest Territories,61,1.466
2009,Oil and Gas,Northwest Territories,61,0.046
2009,Transport,Northwest Territories,61,0.559
2009,Heavy Industry,Northwest Territories,61,0.385
2009,Buildings,Northwest Territories,61,0.365
2009,Waste,Northwest Territories,61,0.033
2009,Provincial Inventory Total,Nova Scotia,12,20.037
2009,Oil and Gas,Nova Scotia,12,1.418
2009,Transport,Nova Scotia,12,4.661
2009,Heavy Industry,Nova Scotia,12,0.525
2009,Buildings,Nova Scotia,12,2.651
2009,Agriculture,Nova Scotia,12,0.472
2009,Waste,Nova Scotia,12,0.466
2009,"Light Manufacturing, Construction and Forest Resources",Nova Scotia,12,0.518
2009,Territorial Inventory Total,Nunavut,62,0.593
2009,Transport,Nunavut,62,0.294
2009,Heavy Industry,Nunavut,62,0.144
2009,Buildings,Nunavut,62,0.005
2009,Waste,Nunavut,62,0.026
2009,Provincial Inventory Total,Ontario,35,164.786
2009,Oil and Gas,Ontario,35,9.31
2009,Transport,Ontario,35,55.229
2009,Heavy Industry,Ontario,35,25.733
2009,Buildings,Ontario,35,33.793
2009,Agriculture,Ontario,35,10.336
2009,Waste,Ontario,35,7.451
2009,"Light Manufacturing, Construction and Forest Resources",Ontario,35,8.587
2009,Provincial Inventory Total,Prince Edward Island,11,1.81
2009,Oil and Gas,Prince Edward Island,11,0.0
2009,Transport,Prince Edward Island,11,0.7
2009,Heavy Industry,Prince Edward Island,11,0.004
2009,Buildings,Prince Edward Island,11,0.506
2009,Agriculture,Prince Edward Island,11,0.319
2009,Waste,Prince Edward Island,11,0.087
2009,"Light Manufacturing, Construction and Forest Resources",Prince Edward Island,11,0.187
2009,Provincial Inventory Total,Quebec,24,80.47
2009,Oil and Gas,Quebec,24,3.969
2009,Transport,Quebec,24,31.339
2009,Heavy Industry,Quebec,24,16.954
2009,Buildings,Quebec,24,11.352
2009,Agriculture,Quebec,24,8.074
2009,Waste,Quebec,24,3.677
2009,"Light Manufacturing, Construction and Forest Resources",Quebec,24,4.422
2009,Provincial Inventory Total,Saskatchewan,47,77.825
2009,Oil and Gas,Saskatchewan,47,32.86
2009,Transport,Saskatchewan,47,9.138
2009,Heavy Industry,Saskatchewan,47,2.052
2009,Buildings,Saskatchewan,47,3.684
2009,Agriculture,Saskatchewan,47,12.887
2009,Waste,Saskatchewan,47,1.365
2009,"Light Manufacturing, Construction and Forest Resources",Saskatchewan,47,0.752
2009,Territorial Inventory Total,Yukon,60,0.579
2009,Oil and Gas,Yukon,60,0.022
2009,Transport,Yukon,60,0.35
2009,Heavy Industry,Yukon,60,0.037
2009,Buildings,Yukon,60,0.086
2009,Agriculture,Yukon,60,0.002
2009,Waste,Yukon,60,0.028
2009,"Light Manufacturing, Construction and Forest Resources",Yukon,60,0.037
2010,Provincial Inventory Total,Alberta,48,268.243
2010,Oil and Gas,Alberta,48,134.593
2010,Transport,Alberta,48,27.517
2010,Heavy Industry,Alberta,48,16.739
2010,Buildings,Alberta,48,18.019
2010,Agriculture,Alberta,48,19.056
2010,Waste,Alberta,48,3.627
2010,"Light Manufacturing, Construction and Forest Resources",Alberta,48,2.899
2010,Provincial Inventory Total,British Columbia,59,60.395
2010,Oil and Gas,British Columbia,59,15.948
2010,Transport,British Columbia,59,19.465
2010,Heavy Industry,British Columbia,59,5.763
2010,Buildings,British Columbia,59,8.162
2010,Agriculture,British Columbia,59,2.507
2010,Waste,British Columbia,59,2.951
2010,"Light Manufacturing, Construction and Forest Resources",British Columbia,59,2.5
2010,Oil and Gas,Canada,,203.428
2010,Transport,Canada,,164.999
2010,Heavy Industry,Canada,,74.887
2010,Buildings,Canada,,81.251
2010,Agriculture,Canada,,60.608
2010,Waste,Canada,,21.992
2010,"Light Manufacturing, Construction and Forest Resources",Canada,,22.663
2010,Provincial Inventory Total,Manitoba,46,19.325
2010,Oil and Gas,Manitoba,46,0.589
2010,Transport,Manitoba,46,5.961
2010,Heavy Industry,Manitoba,46,1.32
2010,Buildings,Manitoba,46,2.601
2010,Agriculture,Manitoba,46,6.438
2010,Waste,Manitoba,46,1.381
2010,"Light Manufacturing, Construction and Forest Resources",Manitoba,46,0.938
2010,Provincial Inventory Total,New Brunswick,13,17.547
2010,Oil and Gas,New Brunswick,13,3.996
2010,Transport,New Brunswick,13,4.123
2010,Heavy Industry,New Brunswick,13,1.119
2010,Buildings,New Brunswick,13,1.515
2010,Agriculture,New Brunswick,13,0.592
2010,Waste,New Brunswick,13,0.608
2010,"Light Manufacturing, Construction and Forest Resources",New Brunswick,13,0.76
2010,Provincial Inventory Total,Newfoundland and Labrador,10,9.834
2010,Oil and Gas,Newfoundland and Labrador,10,2.496
2010,Transport,Newfoundland and Labrador,10,3.524
2010,Heavy Industry,Newfoundland and Labrador,10,1.28
2010,Buildings,Newfoundland and Labrador,10,0.803
2010,Agriculture,Newfoundland and Labrador,10,0.105
2010,Waste,Newfoundland and Labrador,10,0.558
2010,"Light Manufacturing, Construction and Forest Resources",Newfoundland and Labrador,10,0.328
2010,Territorial Inventory Total,Northwest Territories,61,1.489
2010,Oil and Gas,Northwest Territories,61,0.13
2010,Transport,Northwest Territories,61,0.486
2010,Heavy Industry,Northwest Territories,61,0.44
2010,Buildings,Northwest Territories,61,0.323
2010,Waste,Northwest Territories,61,0.034
2010,Provincial Inventory Total,Nova Scotia,12,20.02
2010,Oil and Gas,Nova Scotia,12,1.402
2010,Transport,Nova Scotia,12,4.734
2010,Heavy Industry,Nova Scotia,12,0.661
2010,Buildings,Nova Scotia,12,2.613
2010,Agriculture,Nova Scotia,12,0.485
2010,Waste,Nova Scotia,12,0.484
2010,"Light Manufacturing, Construction and Forest Resources",Nova Scotia,12,0.582
2010,Territorial Inventory Total,Nunavut,62,0.596
2010,Transport,Nunavut,62,0.296
2010,Heavy Industry,Nunavut,62,0.144
2010,Buildings,Nunavut,62,0.006
2010,Waste,Nunavut,62,0.027
2010,Provincial Inventory Total,Ontario,35,172.963
