Year,Key Biodiversity Areas (KBAs),Value
1980,Terrestrial Key Biodiversity Areas,8.64
1990,Terrestrial Key Biodiversity Areas,12.66
2000,Terrestrial Key Biodiversity Areas,17.21
2010,Terrestrial Key Biodiversity Areas,25.01
2020,Terrestrial Key Biodiversity Areas,28.93
2021,Terrestrial Key Biodiversity Areas,29.04
2022,Terrestrial Key Biodiversity Areas,29.2
2023,Terrestrial Key Biodiversity Areas,29.2
1980,Freshwater Key Biodiversity Areas,7.01
1990,Freshwater Key Biodiversity Areas,11.34
2000,Freshwater Key Biodiversity Areas,15.19
2010,Freshwater Key Biodiversity Areas,18.59
2020,Freshwater Key Biodiversity Areas,19.72
2021,Freshwater Key Biodiversity Areas,19.97
2022,Freshwater Key Biodiversity Areas,19.97
2023,Freshwater Key Biodiversity Areas,19.97
