Year,Geography,Age group,GeoCode,Value
2018,,,,91.3
2020,,,,92.3
2022,,,,94.5
2018,Canada,15 to 24 years,,98.6
2018,Canada,25 to 44 years,,98.2
2018,Canada,45 to 64 years,,93.9
2018,Canada,65 years and over,,71.2
2018,Newfoundland and Labrador,"Total, 15 years and over",10,86.0
2018,Newfoundland and Labrador,15 to 24 years,,92.5
2018,Newfoundland and Labrador,25 to 44 years,,97.0
2018,Newfoundland and Labrador,45 to 64 years,,89.4
2018,Newfoundland and Labrador,65 years and over,,64.7
2018,Prince Edward Island,"Total, 15 years and over",11,88.5
2018,Prince Edward Island,15 to 24 years,,100.0
2018,Prince Edward Island,25 to 44 years,,98.7
2018,Prince Edward Island,45 to 64 years,,88.1
2018,Prince Edward Island,65 years and over,,69.0
2018,Nova Scotia,"Total, 15 years and over",12,88.5
2018,Nova Scotia,15 to 24 years,,100.0
2018,Nova Scotia,25 to 44 years,,98.3
2018,Nova Scotia,45 to 64 years,,89.4
2018,Nova Scotia,65 years and over,,68.2
2018,New Brunswick,"Total, 15 years and over",13,89.2
2018,New Brunswick,15 to 24 years,,100.0
2018,New Brunswick,25 to 44 years,,98.1
2018,New Brunswick,45 to 64 years,,91.7
2018,New Brunswick,65 years and over,,69.3
2018,Quebec,"Total, 15 years and over",24,88.0
2018,Quebec,15 to 24 years,,100.0
2018,Quebec,25 to 44 years,,97.9
2018,Quebec,45 to 64 years,,91.3
2018,Quebec,65 years and over,,62.1
2018,Ontario,"Total, 15 years and over",35,92.2
2018,Ontario,15 to 24 years,,97.9
2018,Ontario,25 to 44 years,,98.4
2018,Ontario,45 to 64 years,,95.2
2018,Ontario,65 years and over,,72.8
2018,Manitoba,"Total, 15 years and over",46,91.2
2018,Manitoba,15 to 24 years,,99.5
2018,Manitoba,25 to 44 years,,97.2
2018,Manitoba,45 to 64 years,,92.8
2018,Manitoba,65 years and over,,70.2
2018,Saskatchewan,"Total, 15 years and over",47,89.9
2018,Saskatchewan,15 to 24 years,,100.0
2018,Saskatchewan,25 to 44 years,,97.5
2018,Saskatchewan,45 to 64 years,,91.5
2018,Saskatchewan,65 years and over,,64.3
2018,Alberta,"Total, 15 years and over",48,94.1
2018,Alberta,15 to 24 years,,100.0
2018,Alberta,25 to 44 years,,97.3
2018,Alberta,45 to 64 years,,94.8
2018,Alberta,65 years and over,,79.5
2018,British Columbia,"Total, 15 years and over",59,94.0
2018,British Columbia,15 to 24 years,,96.7
2018,British Columbia,25 to 44 years,,99.3
2018,British Columbia,45 to 64 years,,96.5
2018,British Columbia,65 years and over,,81.1
2020,Canada,15 to 24 years,,98.0
2020,Canada,25 to 44 years,,98.2
2020,Canada,45 to 64 years,,94.2
2020,Canada,65 years and over,,76.3
2020,Newfoundland and Labrador,"Total, 15 years and over",10,89.8
2020,Newfoundland and Labrador,15 to 24 years,,100.0
2020,Newfoundland and Labrador,25 to 44 years,,99.7
