Year,Persons in low income,Geography,GeoCode,Value
2015,Persons 18 to 64 years,Manitoba,,14.1
2015,Persons 65 years and over,Manitoba,,13.4
2015,Males,Manitoba,,16.4
2015,"Males, under 18 years",Manitoba,,26.9
2015,"Males, 18 to 64 years",Manitoba,,14.3
2015,"Males, 65 years and over",Manitoba,,8.9
2015,Females,Manitoba,,15.6
2015,"Females, under 18 years",Manitoba,,19.3
2015,"Females, 18 to 64 years",Manitoba,,13.9
2015,"Females, 65 years and over",Manitoba,,17.2
2015,All persons,Saskatchewan,47,12.4
2015,Persons under 18 years,Saskatchewan,,17.8
2015,Persons 18 to 64 years,Saskatchewan,,10.4
2015,Persons 65 years and over,Saskatchewan,,12.6
2015,Males,Saskatchewan,,10.9
2015,"Males, under 18 years",Saskatchewan,,16.9
2015,"Males, 18 to 64 years",Saskatchewan,,8.9
2015,"Males, 65 years and over",Saskatchewan,,10.3
2015,Females,Saskatchewan,,13.9
2015,"Females, under 18 years",Saskatchewan,,18.6
2015,"Females, 18 to 64 years",Saskatchewan,,12.0
2015,"Females, 65 years and over",Saskatchewan,,14.6
2015,All persons,Alberta,48,6.9
2015,Persons under 18 years,Alberta,,10.5
2015,Persons 18 to 64 years,Alberta,,6.1
2015,Persons 65 years and over,Alberta,,4.3
2015,Males,Alberta,,6.5
2015,"Males, under 18 years",Alberta,,8.6
2015,"Males, 18 to 64 years",Alberta,,6.2
2015,"Males, 65 years and over",Alberta,,4.0
2015,Females,Alberta,,7.2
2015,"Females, under 18 years",Alberta,,12.6
2015,"Females, 18 to 64 years",Alberta,,5.9
2015,"Females, 65 years and over",Alberta,,4.6
2015,All persons,British Columbia,59,16.6
2015,Persons under 18 years,British Columbia,,14.1
2015,Persons 18 to 64 years,British Columbia,,17.7
2015,Persons 65 years and over,British Columbia,,15.0
2015,Males,British Columbia,,16.4
2015,"Males, under 18 years",British Columbia,,12.6
2015,"Males, 18 to 64 years",British Columbia,,18.2
2015,"Males, 65 years and over",British Columbia,,13.5
2015,Females,British Columbia,,16.8
2015,"Females, under 18 years",British Columbia,,15.7
2015,"Females, 18 to 64 years",British Columbia,,17.3
2015,"Females, 65 years and over",British Columbia,,16.4
2015,All persons,"Québec, Quebec",,10.2
2015,Persons under 18 years,"Québec, Quebec",,
2015,Persons 18 to 64 years,"Québec, Quebec",,9.2
2015,Persons 65 years and over,"Québec, Quebec",,17.8
2015,Males,"Québec, Quebec",,10.6
2015,"Males, under 18 years","Québec, Quebec",,
2015,"Males, 18 to 64 years","Québec, Quebec",,10.0
2015,"Males, 65 years and over","Québec, Quebec",,15.6
2015,Females,"Québec, Quebec",,9.8
2015,"Females, under 18 years","Québec, Quebec",,
2015,"Females, 18 to 64 years","Québec, Quebec",,8.5
2015,"Females, 65 years and over","Québec, Quebec",,19.5
2015,All persons,"Montréal, Quebec",,18.6
2015,Persons under 18 years,"Montréal, Quebec",,21.1
2015,Persons 18 to 64 years,"Montréal, Quebec",,18.6
2015,Persons 65 years and over,"Montréal, Quebec",,15.9
2015,Males,"Montréal, Quebec",,17.9
2015,"Males, under 18 years","Montréal, Quebec",,20.6
2015,"Males, 18 to 64 years","Montréal, Quebec",,17.9
2015,"Males, 65 years and over","Montréal, Quebec",,14.3
2015,Females,"Montréal, Quebec",,19.3
2015,"Females, under 18 years","Montréal, Quebec",,21.4
2015,"Females, 18 to 64 years","Montréal, Quebec",,19.2
2015,"Females, 65 years and over","Montréal, Quebec",,17.3
2015,All persons,"Ottawa-Gatineau, Ontario/Quebec",,10.7
2015,Persons under 18 years,"Ottawa-Gatineau, Ontario/Quebec",,10.5
2015,Persons 18 to 64 years,"Ottawa-Gatineau, Ontario/Quebec",,11.3
2015,Persons 65 years and over,"Ottawa-Gatineau, Ontario/Quebec",,8.3
2015,Males,"Ottawa-Gatineau, Ontario/Quebec",,9.8
2015,"Males, under 18 years","Ottawa-Gatineau, Ontario/Quebec",,
2015,"Males, 18 to 64 years","Ottawa-Gatineau, Ontario/Quebec",,10.5
2015,"Males, 65 years and over","Ottawa-Gatineau, Ontario/Quebec",,
2015,Females,"Ottawa-Gatineau, Ontario/Quebec",,11.6
2015,"Females, under 18 years","Ottawa-Gatineau, Ontario/Quebec",,
2015,"Females, 18 to 64 years","Ottawa-Gatineau, Ontario/Quebec",,12.0
2015,"Females, 65 years and over","Ottawa-Gatineau, Ontario/Quebec",,8.8
2015,All persons,"Toronto, Ontario",,16.3
2015,Persons under 18 years,"Toronto, Ontario",,18.5
2015,Persons 18 to 64 years,"Toronto, Ontario",,15.6
2015,Persons 65 years and over,"Toronto, Ontario",,16.0
2015,Males,"Toronto, Ontario",,15.9
2015,"Males, under 18 years","Toronto, Ontario",,20.1
2015,"Males, 18 to 64 years","Toronto, Ontario",,15.0
2015,"Males, 65 years and over","Toronto, Ontario",,13.1
2015,Females,"Toronto, Ontario",,16.6
2015,"Females, under 18 years","Toronto, Ontario",,16.9
2015,"Females, 18 to 64 years","Toronto, Ontario",,16.1
2015,"Females, 65 years and over","Toronto, Ontario",,18.4
2015,All persons,"Winnipeg, Manitoba",,16.4
2015,Persons under 18 years,"Winnipeg, Manitoba",,23.9
2015,Persons 18 to 64 years,"Winnipeg, Manitoba",,15.2
2015,Persons 65 years and over,"Winnipeg, Manitoba",,10.9
2015,Males,"Winnipeg, Manitoba",,16.3
2015,"Males, under 18 years","Winnipeg, Manitoba",,28.4
2015,"Males, 18 to 64 years","Winnipeg, Manitoba",,14.6
2015,"Males, 65 years and over","Winnipeg, Manitoba",,4.9
2015,Females,"Winnipeg, Manitoba",,16.6
2015,"Females, under 18 years","Winnipeg, Manitoba",,19.6
2015,"Females, 18 to 64 years","Winnipeg, Manitoba",,15.7
2015,"Females, 65 years and over","Winnipeg, Manitoba",,15.7
2015,All persons,"Calgary, Alberta",,7.5
2015,Persons under 18 years,"Calgary, Alberta",,
2015,Persons 18 to 64 years,"Calgary, Alberta",,6.4
2015,Persons 65 years and over,"Calgary, Alberta",,5.6
2015,Males,"Calgary, Alberta",,7.3
2015,"Males, under 18 years","Calgary, Alberta",,
2015,"Males, 18 to 64 years","Calgary, Alberta",,6.9
2015,"Males, 65 years and over","Calgary, Alberta",,
2015,Females,"Calgary, Alberta",,7.7
2015,"Females, under 18 years","Calgary, Alberta",,
2015,"Females, 18 to 64 years","Calgary, Alberta",,5.8
2015,"Females, 65 years and over","Calgary, Alberta",,
2015,All persons,"Edmonton, Alberta",,6.7
2015,Persons under 18 years,"Edmonton, Alberta",,11.1
2015,Persons 18 to 64 years,"Edmonton, Alberta",,6.0
2015,Persons 65 years and over,"Edmonton, Alberta",,
2015,Males,"Edmonton, Alberta",,6.5
2015,"Males, under 18 years","Edmonton, Alberta",,
2015,"Males, 18 to 64 years","Edmonton, Alberta",,6.5
2015,"Males, 65 years and over","Edmonton, Alberta",,
2015,Females,"Edmonton, Alberta",,6.9
2015,"Females, under 18 years","Edmonton, Alberta",,
2015,"Females, 18 to 64 years","Edmonton, Alberta",,5.5
2015,"Females, 65 years and over","Edmonton, Alberta",,
2015,All persons,"Vancouver, British Columbia",,17.0
2015,Persons under 18 years,"Vancouver, British Columbia",,15.3
2015,Persons 18 to 64 years,"Vancouver, British Columbia",,17.6
2015,Persons 65 years and over,"Vancouver, British Columbia",,16.7
2015,Males,"Vancouver, British Columbia",,17.1
2015,"Males, under 18 years","Vancouver, British Columbia",,14.9
2015,"Males, 18 to 64 years","Vancouver, British Columbia",,17.8
2015,"Males, 65 years and over","Vancouver, British Columbia",,16.8
2015,Females,"Vancouver, British Columbia",,17.0
2015,"Females, under 18 years","Vancouver, British Columbia",,15.7
2015,"Females, 18 to 64 years","Vancouver, British Columbia",,17.5
2015,"Females, 65 years and over","Vancouver, British Columbia",,16.6
2016,Persons under 18 years,Canada,,13.8
2016,Persons 18 to 64 years,Canada,,12.3
2016,Persons 65 years and over,Canada,,14.6
2016,Males,Canada,,12.2
2016,"Males, under 18 years",Canada,,13.5
2016,"Males, 18 to 64 years",Canada,,11.7
2016,"Males, 65 years and over",Canada,,12.3
2016,Females,Canada,,13.8
2016,"Females, under 18 years",Canada,,14.2
2016,"Females, 18 to 64 years",Canada,,13.0
2016,"Females, 65 years and over",Canada,,16.6
2016,All persons,Atlantic provinces,,15.7
2016,Persons under 18 years,Atlantic provinces,,18.1
2016,Persons 18 to 64 years,Atlantic provinces,,13.6
2016,Persons 65 years and over,Atlantic provinces,,20.3
2016,Males,Atlantic provinces,,14.6
2016,"Males, under 18 years",Atlantic provinces,,19.3
2016,"Males, 18 to 64 years",Atlantic provinces,,12.2
2016,"Males, 65 years and over",Atlantic provinces,,18.3
2016,Females,Atlantic provinces,,16.8
2016,"Females, under 18 years",Atlantic provinces,,17.0
2016,"Females, 18 to 64 years",Atlantic provinces,,15.0
2016,"Females, 65 years and over",Atlantic provinces,,22.2
2016,All persons,Newfoundland and Labrador,10,15.8
2016,Persons under 18 years,Newfoundland and Labrador,,16.2
2016,Persons 18 to 64 years,Newfoundland and Labrador,,12.8
2016,Persons 65 years and over,Newfoundland and Labrador,,25.6
2016,Males,Newfoundland and Labrador,,14.0
2016,"Males, under 18 years",Newfoundland and Labrador,,16.7
2016,"Males, 18 to 64 years",Newfoundland and Labrador,,9.9
2016,"Males, 65 years and over",Newfoundland and Labrador,,25.3
2016,Females,Newfoundland and Labrador,,17.6
2016,"Females, under 18 years",Newfoundland and Labrador,,15.6
2016,"Females, 18 to 64 years",Newfoundland and Labrador,,15.6
2016,"Females, 65 years and over",Newfoundland and Labrador,,25.9
2016,All persons,Prince Edward Island,11,16.3
2016,Persons under 18 years,Prince Edward Island,,22.6
2016,Persons 18 to 64 years,Prince Edward Island,,13.3
2016,Persons 65 years and over,Prince Edward Island,,19.7
2016,Males,Prince Edward Island,,13.5
2016,"Males, under 18 years",Prince Edward Island,,19.4
2016,"Males, 18 to 64 years",Prince Edward Island,,11.6
2016,"Males, 65 years and over",Prince Edward Island,,13.7
2016,Females,Prince Edward Island,,18.9
2016,"Females, under 18 years",Prince Edward Island,,25.9
2016,"Females, 18 to 64 years",Prince Edward Island,,14.9
2016,"Females, 65 years and over",Prince Edward Island,,25.0
2016,All persons,Nova Scotia,12,16.2
2016,Persons under 18 years,Nova Scotia,,19.1
2016,Persons 18 to 64 years,Nova Scotia,,15.5
2016,Persons 65 years and over,Nova Scotia,,15.9
2016,Males,Nova Scotia,,16.1
2016,"Males, under 18 years",Nova Scotia,,20.4
2016,"Males, 18 to 64 years",Nova Scotia,,15.3
2016,"Males, 65 years and over",Nova Scotia,,14.3
2016,Females,Nova Scotia,,16.3
2016,"Females, under 18 years",Nova Scotia,,17.7
2016,"Females, 18 to 64 years",Nova Scotia,,15.7
2016,"Females, 65 years and over",Nova Scotia,,17.3
2016,All persons,New Brunswick,13,15.0
2016,Persons under 18 years,New Brunswick,,17.4
2016,Persons 18 to 64 years,New Brunswick,,12.0
2016,Persons 65 years and over,New Brunswick,,22.3
2016,Males,New Brunswick,,13.5
2016,"Males, under 18 years",New Brunswick,,19.6
2016,"Males, 18 to 64 years",New Brunswick,,10.1
2016,"Males, 65 years and over",New Brunswick,,19.1
2016,Females,New Brunswick,,16.4
2016,"Females, under 18 years",New Brunswick,,15.1
2016,"Females, 18 to 64 years",New Brunswick,,13.8
2016,"Females, 65 years and over",New Brunswick,,25.1
2016,All persons,Quebec,24,13.8
2016,Persons under 18 years,Quebec,,12.9
2016,Persons 18 to 64 years,Quebec,,12.6
2016,Persons 65 years and over,Quebec,,19.1
2016,Males,Quebec,,13.2
2016,"Males, under 18 years",Quebec,,13.3
2016,"Males, 18 to 64 years",Quebec,,12.4
2016,"Males, 65 years and over",Quebec,,16.2
2016,Females,Quebec,,14.4
2016,"Females, under 18 years",Quebec,,12.5
2016,"Females, 18 to 64 years",Quebec,,12.8
2016,"Females, 65 years and over",Quebec,,21.5
2016,All persons,Ontario,35,13.7
2016,Persons under 18 years,Ontario,,16.0
2016,Persons 18 to 64 years,Ontario,,13.2
2016,Persons 65 years and over,Ontario,,13.0
2016,Males,Ontario,,12.2
2016,"Males, under 18 years",Ontario,,14.8
2016,"Males, 18 to 64 years",Ontario,,11.7
2016,"Males, 65 years and over",Ontario,,10.8
2016,Females,Ontario,,15.1
2016,"Females, under 18 years",Ontario,,17.3
2016,"Females, 18 to 64 years",Ontario,,14.6
2016,"Females, 65 years and over",Ontario,,14.9
2016,All persons,Prairie provinces,,9.2
2016,Persons under 18 years,Prairie provinces,,10.1
2016,Persons 18 to 64 years,Prairie provinces,,8.9
2016,Persons 65 years and over,Prairie provinces,,9.5
2016,Males,Prairie provinces,,9.1
2016,"Males, under 18 years",Prairie provinces,,10.4
2016,"Males, 18 to 64 years",Prairie provinces,,8.6
2016,"Males, 65 years and over",Prairie provinces,,9.0
2016,Females,Prairie provinces,,9.4
2016,"Females, under 18 years",Prairie provinces,,9.7
2016,"Females, 18 to 64 years",Prairie provinces,,9.2
2016,"Females, 65 years and over",Prairie provinces,,9.9
2016,All persons,Manitoba,46,13.3
2016,Persons under 18 years,Manitoba,,17.3
2016,Persons 18 to 64 years,Manitoba,,11.8
2016,Persons 65 years and over,Manitoba,,14.1
2016,Males,Manitoba,,13.0
2016,"Males, under 18 years",Manitoba,,18.6
2016,"Males, 18 to 64 years",Manitoba,,11.3
2016,"Males, 65 years and over",Manitoba,,11.5
2016,Females,Manitoba,,13.7
2016,"Females, under 18 years",Manitoba,,15.8
2016,"Females, 18 to 64 years",Manitoba,,12.3
2016,"Females, 65 years and over",Manitoba,,16.3
2016,All persons,Saskatchewan,47,11.4
2016,Persons under 18 years,Saskatchewan,,12.9
2016,Persons 18 to 64 years,Saskatchewan,,9.8
2016,Persons 65 years and over,Saskatchewan,,15.8
2016,Males,Saskatchewan,,10.4
2016,"Males, under 18 years",Saskatchewan,,12.0
2016,"Males, 18 to 64 years",Saskatchewan,,8.9
2016,"Males, 65 years and over",Saskatchewan,,14.5
2016,Females,Saskatchewan,,12.5
2016,"Females, under 18 years",Saskatchewan,,13.8
2016,"Females, 18 to 64 years",Saskatchewan,,10.8
2016,"Females, 65 years and over",Saskatchewan,,17.0
2016,All persons,Alberta,48,7.4
2016,Persons under 18 years,Alberta,,7.2
2016,Persons 18 to 64 years,Alberta,,7.9
2016,Persons 65 years and over,Alberta,,5.6
2016,Males,Alberta,,7.5
2016,"Males, under 18 years",Alberta,,7.4
2016,"Males, 18 to 64 years",Alberta,,7.8
2016,"Males, 65 years and over",Alberta,,6.2
2016,Females,Alberta,,7.4
2016,"Females, under 18 years",Alberta,,7.0
2016,"Females, 18 to 64 years",Alberta,,8.0
2016,"Females, 65 years and over",Alberta,,5.1
2016,All persons,British Columbia,59,13.4
2016,Persons under 18 years,British Columbia,,13.0
2016,Persons 18 to 64 years,British Columbia,,13.5
2016,Persons 65 years and over,British Columbia,,13.2
2016,Males,British Columbia,,13.3
2016,"Males, under 18 years",British Columbia,,12.2
2016,"Males, 18 to 64 years",British Columbia,,14.5
2016,"Males, 65 years and over",British Columbia,,9.9
2016,Females,British Columbia,,13.4
2016,"Females, under 18 years",British Columbia,,13.9
2016,"Females, 18 to 64 years",British Columbia,,12.6
2016,"Females, 65 years and over",British Columbia,,16.1
2016,All persons,"Québec, Quebec",,10.9
2016,Persons under 18 years,"Québec, Quebec",,7.7
2016,Persons 18 to 64 years,"Québec, Quebec",,9.0
2016,Persons 65 years and over,"Québec, Quebec",,20.0
2016,Males,"Québec, Quebec",,8.6
2016,"Males, under 18 years","Québec, Quebec",,
2016,"Males, 18 to 64 years","Québec, Quebec",,8.1
2016,"Males, 65 years and over","Québec, Quebec",,13.6
2016,Females,"Québec, Quebec",,12.9
2016,"Females, under 18 years","Québec, Quebec",,
2016,"Females, 18 to 64 years","Québec, Quebec",,9.9
2016,"Females, 65 years and over","Québec, Quebec",,25.1
2016,All persons,"Montréal, Quebec",,14.6
2016,Persons under 18 years,"Montréal, Quebec",,15.6
2016,Persons 18 to 64 years,"Montréal, Quebec",,13.6
2016,Persons 65 years and over,"Montréal, Quebec",,17.2
2016,Males,"Montréal, Quebec",,14.4
2016,"Males, under 18 years","Montréal, Quebec",,15.7
2016,"Males, 18 to 64 years","Montréal, Quebec",,13.4
2016,"Males, 65 years and over","Montréal, Quebec",,17.1
2016,Females,"Montréal, Quebec",,14.7
2016,"Females, under 18 years","Montréal, Quebec",,15.4
2016,"Females, 18 to 64 years","Montréal, Quebec",,13.8
2016,"Females, 65 years and over","Montréal, Quebec",,17.4
2016,All persons,"Ottawa-Gatineau, Ontario/Quebec",,9.1
2016,Persons under 18 years,"Ottawa-Gatineau, Ontario/Quebec",,10.6
2016,Persons 18 to 64 years,"Ottawa-Gatineau, Ontario/Quebec",,9.1
2016,Persons 65 years and over,"Ottawa-Gatineau, Ontario/Quebec",,7.2
2016,Males,"Ottawa-Gatineau, Ontario/Quebec",,8.1
2016,"Males, under 18 years","Ottawa-Gatineau, Ontario/Quebec",,9.1
2016,"Males, 18 to 64 years","Ottawa-Gatineau, Ontario/Quebec",,8.7
2016,"Males, 65 years and over","Ottawa-Gatineau, Ontario/Quebec",,
2016,Females,"Ottawa-Gatineau, Ontario/Quebec",,10.1
2016,"Females, under 18 years","Ottawa-Gatineau, Ontario/Quebec",,12.0
2016,"Females, 18 to 64 years","Ottawa-Gatineau, Ontario/Quebec",,9.6
2016,"Females, 65 years and over","Ottawa-Gatineau, Ontario/Quebec",,9.8
2016,All persons,"Toronto, Ontario",,15.7
2016,Persons under 18 years,"Toronto, Ontario",,19.2
2016,Persons 18 to 64 years,"Toronto, Ontario",,14.6
2016,Persons 65 years and over,"Toronto, Ontario",,15.3
2016,Males,"Toronto, Ontario",,13.9
2016,"Males, under 18 years","Toronto, Ontario",,16.8
2016,"Males, 18 to 64 years","Toronto, Ontario",,12.8
2016,"Males, 65 years and over","Toronto, Ontario",,15.1
2016,Females,"Toronto, Ontario",,17.3
2016,"Females, under 18 years","Toronto, Ontario",,21.5
2016,"Females, 18 to 64 years","Toronto, Ontario",,16.4
2016,"Females, 65 years and over","Toronto, Ontario",,15.5
2016,All persons,"Winnipeg, Manitoba",,13.3
2016,Persons under 18 years,"Winnipeg, Manitoba",,18.6
2016,Persons 18 to 64 years,"Winnipeg, Manitoba",,12.1
2016,Persons 65 years and over,"Winnipeg, Manitoba",,11.0
2016,Males,"Winnipeg, Manitoba",,13.1
2016,"Males, under 18 years","Winnipeg, Manitoba",,19.9
2016,"Males, 18 to 64 years","Winnipeg, Manitoba",,11.6
2016,"Males, 65 years and over","Winnipeg, Manitoba",,9.5
2016,Females,"Winnipeg, Manitoba",,13.4
2016,"Females, under 18 years","Winnipeg, Manitoba",,17.3
2016,"Females, 18 to 64 years","Winnipeg, Manitoba",,12.5
2016,"Females, 65 years and over","Winnipeg, Manitoba",,12.3
2016,All persons,"Calgary, Alberta",,6.3
2016,Persons under 18 years,"Calgary, Alberta",,5.4
2016,Persons 18 to 64 years,"Calgary, Alberta",,6.6
2016,Persons 65 years and over,"Calgary, Alberta",,
2016,Males,"Calgary, Alberta",,6.5
2016,"Males, under 18 years","Calgary, Alberta",,6.2
2016,"Males, 18 to 64 years","Calgary, Alberta",,5.9
2016,"Males, 65 years and over","Calgary, Alberta",,
2016,Females,"Calgary, Alberta",,6.2
2016,"Females, under 18 years","Calgary, Alberta",,
2016,"Females, 18 to 64 years","Calgary, Alberta",,7.3
2016,"Females, 65 years and over","Calgary, Alberta",,
2016,All persons,"Edmonton, Alberta",,6.0
2016,Persons under 18 years,"Edmonton, Alberta",,
2016,Persons 18 to 64 years,"Edmonton, Alberta",,7.3
2016,Persons 65 years and over,"Edmonton, Alberta",,
2016,Males,"Edmonton, Alberta",,6.4
2016,"Males, under 18 years","Edmonton, Alberta",,
2016,"Males, 18 to 64 years","Edmonton, Alberta",,8.0
2016,"Males, 65 years and over","Edmonton, Alberta",,
2016,Females,"Edmonton, Alberta",,5.6
2016,"Females, under 18 years","Edmonton, Alberta",,
2016,"Females, 18 to 64 years","Edmonton, Alberta",,6.6
2016,"Females, 65 years and over","Edmonton, Alberta",,
2016,All persons,"Vancouver, British Columbia",,12.8
2016,Persons under 18 years,"Vancouver, British Columbia",,11.8
2016,Persons 18 to 64 years,"Vancouver, British Columbia",,13.0
2016,Persons 65 years and over,"Vancouver, British Columbia",,13.0
2016,Males,"Vancouver, British Columbia",,12.4
2016,"Males, under 18 years","Vancouver, British Columbia",,11.4
2016,"Males, 18 to 64 years","Vancouver, British Columbia",,13.6
2016,"Males, 65 years and over","Vancouver, British Columbia",,8.7
2016,Females,"Vancouver, British Columbia",,13.2
2016,"Females, under 18 years","Vancouver, British Columbia",,12.3
2016,"Females, 18 to 64 years","Vancouver, British Columbia",,12.4
2016,"Females, 65 years and over","Vancouver, British Columbia",,17.2
2017,Persons under 18 years,Canada,,11.8
2017,Persons 18 to 64 years,Canada,,12.1
2017,Persons 65 years and over,Canada,,15.4
2017,Males,Canada,,11.8
2017,"Males, under 18 years",Canada,,11.3
2017,"Males, 18 to 64 years",Canada,,11.8
2017,"Males, 65 years and over",Canada,,12.2
2017,Females,Canada,,13.4
2017,"Females, under 18 years",Canada,,12.4
2017,"Females, 18 to 64 years",Canada,,12.4
2017,"Females, 65 years and over",Canada,,18.2
2017,All persons,Atlantic provinces,,16.3
2017,Persons under 18 years,Atlantic provinces,,16.8
2017,Persons 18 to 64 years,Atlantic provinces,,15.0
2017,Persons 65 years and over,Atlantic provinces,,19.7
2017,Males,Atlantic provinces,,15.0
2017,"Males, under 18 years",Atlantic provinces,,16.3
2017,"Males, 18 to 64 years",Atlantic provinces,,14.0
2017,"Males, 65 years and over",Atlantic provinces,,17.4
2017,Females,Atlantic provinces,,17.4
2017,"Females, under 18 years",Atlantic provinces,,17.4
2017,"Females, 18 to 64 years",Atlantic provinces,,16.0
2017,"Females, 65 years and over",Atlantic provinces,,21.7
2017,All persons,Newfoundland and Labrador,10,15.0
2017,Persons under 18 years,Newfoundland and Labrador,,12.7
2017,Persons 18 to 64 years,Newfoundland and Labrador,,13.3
2017,Persons 65 years and over,Newfoundland and Labrador,,22.5
2017,Males,Newfoundland and Labrador,,13.8
2017,"Males, under 18 years",Newfoundland and Labrador,,13.0
