Year,Genre,Groupe d'âge,Géographie,GeoCode,Progress,Value
2015,,,,,7.0,7.0
2016,,,,,7.1,7.1
2017,,,,,6.4,6.4
2018,,,,,5.8,5.8
2019,,,,,5.7,5.7
2020,,,,,9.7,9.7
2021,,,,,7.5,7.5
2022,,,,,5.3,5.3
2023,,,,,5.4,5.4
2024,,,,,6.3,6.3
2015,Total - Genre,15 à 24 ans,Canada,,12.8,12.8
2015,Total - Genre,25 ans et plus,Canada,,6.0,6.0
2015,Total - Genre,25 à 44 ans,Canada,,6.2,6.2
2015,Total - Genre,45 à 64 ans,Canada,,5.8,5.8
2015,Total - Genre,45 ans et plus,Canada,,5.7,5.7
2015,Total - Genre,25 à 54 ans,Canada,,5.9,5.9
2015,Total - Genre,55 ans et plus,Canada,,6.0,6.0
2015,Total - Genre,15 à 64 ans,Canada,,7.1,7.1
2015,Total - Genre,15 à 19 ans,Canada,,17.5,17.5
2015,Total - Genre,20 à 24 ans,Canada,,10.1,10.1
2015,Total - Genre,25 à 29 ans,Canada,,7.5,7.5
2015,Total - Genre,30 à 34 ans,Canada,,5.8,5.8
2015,Total - Genre,35 à 39 ans,Canada,,5.8,5.8
2015,Total - Genre,40 à 44 ans,Canada,,5.6,5.6
2015,Total - Genre,45 à 49 ans,Canada,,5.2,5.2
2015,Total - Genre,50 à 54 ans,Canada,,5.7,5.7
2015,Total - Genre,55 à 59 ans,Canada,,6.1,6.1
2015,Total - Genre,60 à 64 ans,Canada,,6.7,6.7
2015,Total - Genre,65 ans et plus,Canada,,4.6,4.6
2015,Total - Genre,65 à 69 ans,Canada,,5.4,5.4
2015,Total - Genre,70 ans et plus,Canada,,-1.0,2.9
2015,Hommes+,15 ans et plus,Canada,,7.5,7.5
2015,Hommes+,15 à 24 ans,Canada,,14.7,14.7
2015,Hommes+,25 ans et plus,Canada,,6.3,6.3
2015,Hommes+,25 à 44 ans,Canada,,6.5,6.5
2015,Hommes+,45 à 64 ans,Canada,,6.3,6.3
2015,Hommes+,45 ans et plus,Canada,,6.1,6.1
2015,Hommes+,25 à 54 ans,Canada,,6.3,6.3
2015,Hommes+,55 ans et plus,Canada,,6.4,6.4
2015,Hommes+,15 à 64 ans,Canada,,7.7,7.7
2015,Hommes+,15 à 19 ans,Canada,,19.2,19.2
2015,Hommes+,20 à 24 ans,Canada,,12.2,12.2
2015,Hommes+,25 à 29 ans,Canada,,8.3,8.3
2015,Hommes+,30 à 34 ans,Canada,,6.1,6.1
2015,Hommes+,35 à 39 ans,Canada,,6.0,6.0
2015,Hommes+,40 à 44 ans,Canada,,5.7,5.7
2015,Hommes+,45 à 49 ans,Canada,,5.5,5.5
2015,Hommes+,50 à 54 ans,Canada,,6.2,6.2
2015,Hommes+,55 à 59 ans,Canada,,6.5,6.5
