Year,Groupe d'âge,Géographie,Identité autochtone,Minorité visible,Status d'immigrant,Orientation sexuelle,Incapacité,Employé au cours des 12 mois précédant,Situation relativement aux études,État matrimonial,GeoCode,Value
2018,,,,,,,,,,,,2.9
2018,,Terre-Neuve-et-Labrador,,,,,,,,,10,1.5
2018,,Île-du-Prince-Édouard,,,,,,,,,11,
2018,,Nouvelle-Écosse,,,,,,,,,12,2.8
2018,,Nouveau-Brunswick,,,,,,,,,13,3.9
2018,,Québec,,,,,,,,,24,2.1
2018,,Ontario,,,,,,,,,35,3.1
2018,,Manitoba,,,,,,,,,46,2.2
2018,,Saskatchewan,,,,,,,,,47,3.3
2018,,Alberta,,,,,,,,,48,3.6
2018,,Colombie-Britannique,,,,,,,,,59,3.3
2018,15 à 24 ans,,,,,,,,,,,11.7
2018,25 à 34 ans,,,,,,,,,,,3.2
2018,35 à 44 ans,,,,,,,,,,,2.6
2018,45 à 54 ans,,,,,,,,,,,1.2
2018,55 à 64 ans,,,,,,,,,,,0.8
2018,65 à 74 ans,,,,,,,,,,,0.3
2018,75 ans et plus,,,,,,,,,,,
2018,,,Personne autochtone,,,,,,,,,4.1
2018,,,Premières Nations,,,,,,,,,4.9
2018,,,Métis,,,,,,,,,3.4
2018,,,Inuit,,,,,,,,,
2018,,,Nombreuses identités autochtones ou groupe particulier non précisé,,,,,,,,,
2018,,,Personne non autochtone,,,,,,,,,2.9
2018,,,,Minorité visible,,,,,,,,2.6
2018,,,,Pas une minorité visible,,,,,,,,3.0
2018,,,,,Personne immigrante,,,,,,,1.4
2018,,,,,Personne non immigrante,,,,,,,3.4
2018,,,,,,Hétérosexuel,,,,,,2.7
2018,,,,,,Gai ou lesbienne,,,,,,
2018,,,,,,Bisexuel,,,,,,11.2
2018,,,,,,Orientation sexuelle non classée ailleurs,,,,,,
2018,,,,,,Orientation sexuelle non précisée,,,,,,
2018,,,,,,,Personne ayant une incapacité,,,,,4.6
2018,,,,,,,Personne ne présentant aucune incapacité,,,,,1.8
2018,,,,,,,,Employé au cours des 12 mois précédant,,,,3.8
2018,,,,,,,,Sans emploi au cours des 12 mois précédant,,,,1.2
2018,,,,,,,,,Actuellement aux études,,,8.0
2018,,,,,,,,,Pas actuellement aux études,,,2.1
2018,,,,,,,,,,Marié ou vivant en union libre,,1.1
2018,,,,,,,,,,"Séparé, divorcé ou veuf",,1.3
2018,,,,,,,,,,"Célibataire, jamais marié",,8.3
