Year,Géographie,GeoCode,Value
2015,Alberta,48,-5.3
2016,Alberta,48,-4.5
2017,Alberta,48,3.47
2018,Alberta,48,0.71
2019,Alberta,48,-1.35
2020,Alberta,48,-8.92
2021,Alberta,48,4.03
2022,Alberta,48,3.16
2015,Colombie-Britannique,59,0.9
2016,Colombie-Britannique,59,0.77
2017,Colombie-Britannique,59,2.28
2018,Colombie-Britannique,59,1.72
2019,Colombie-Britannique,59,0.82
2020,Colombie-Britannique,59,-4.31
2021,Colombie-Britannique,59,6.04
2022,Colombie-Britannique,59,1.23
2015,,,-0.11
2016,,,-0.1
2017,,,1.81
2018,,,1.28
2019,,,0.43
2020,,,-6.06
2021,,,4.71
2022,,,1.96
2015,Manitoba,46,-0.03
2016,Manitoba,46,-0.14
2017,Manitoba,46,1.69
2018,Manitoba,46,0.56
2019,Manitoba,46,-0.1
2020,Manitoba,46,-4.8
2021,Manitoba,46,0.42
2022,Manitoba,46,1.76
2015,Nouveau-Brunswick,13,0.58
2016,Nouveau-Brunswick,13,0.27
2017,Nouveau-Brunswick,13,2.03
2018,Nouveau-Brunswick,13,0.59
2019,Nouveau-Brunswick,13,0.44
2020,Nouveau-Brunswick,13,-4.32
2021,Nouveau-Brunswick,13,4.28
2022,Nouveau-Brunswick,13,-1.23
2015,Terre-Neuve-et-Labrador,10,-1.24
2016,Terre-Neuve-et-Labrador,10,1.27
2017,Terre-Neuve-et-Labrador,10,1.44
2018,Terre-Neuve-et-Labrador,10,-2.28
2019,Terre-Neuve-et-Labrador,10,4.17
2020,Terre-Neuve-et-Labrador,10,-4.68
2021,Terre-Neuve-et-Labrador,10,1.0
2022,Terre-Neuve-et-Labrador,10,-2.47
2015,Territoires du Nord-Ouest,61,0.03
2016,Territoires du Nord-Ouest,61,-2.24
2017,Territoires du Nord-Ouest,61,3.34
2018,Territoires du Nord-Ouest,61,1.48
2019,Territoires du Nord-Ouest,61,-3.68
2020,Territoires du Nord-Ouest,61,-9.12
2021,Territoires du Nord-Ouest,61,4.19
2022,Territoires du Nord-Ouest,61,2.68
2015,Nouvelle-Écosse,12,0.71
2016,Nouvelle-Écosse,12,0.98
2017,Nouvelle-Écosse,12,0.86
2018,Nouvelle-Écosse,12,0.71
2019,Nouvelle-Écosse,12,1.97
2020,Nouvelle-Écosse,12,-5.84
2021,Nouvelle-Écosse,12,4.77
2022,Nouvelle-Écosse,12,0.33
2015,Nunavut,62,-1.74
2016,Nunavut,62,3.71
2017,Nunavut,62,11.14
2018,Nunavut,62,2.73
2019,Nunavut,62,6.33
2020,Nunavut,62,0.6
2021,Nunavut,62,7.76
2022,Nunavut,62,-0.79
2015,Ontario,35,1.77
2016,Ontario,35,0.87
2017,Ontario,35,1.34
2018,Ontario,35,1.49
2019,Ontario,35,0.36
2020,Ontario,35,-5.76
2021,Ontario,35,4.81
2022,Ontario,35,1.85
2015,Île-du-Prince-Édouard,11,1.03
2016,Île-du-Prince-Édouard,11,0.57
2017,Île-du-Prince-Édouard,11,2.69
2018,Île-du-Prince-Édouard,11,0.01
2019,Île-du-Prince-Édouard,11,2.2
2020,Île-du-Prince-Édouard,11,-5.1
2021,Île-du-Prince-Édouard,11,6.42
2022,Île-du-Prince-Édouard,11,-0.27
2015,Québec,24,0.54
2016,Québec,24,0.99
2017,Québec,24,2.02
2018,Québec,24,1.61
2019,Québec,24,1.67
2020,Québec,24,-5.5
2021,Québec,24,6.47
2022,Québec,24,1.32
2015,Saskatchewan,47,-1.75
2016,Saskatchewan,47,-1.25
2017,Saskatchewan,47,1.53
2018,Saskatchewan,47,0.88
2019,Saskatchewan,47,-1.14
2020,Saskatchewan,47,-4.52
2021,Saskatchewan,47,-0.77
2022,Saskatchewan,47,5.08
2015,Yukon,60,-9.26
2016,Yukon,60,4.94
2017,Yukon,60,-0.73
2018,Yukon,60,0.19
2019,Yukon,60,-3.23
2020,Yukon,60,-0.15
2021,Yukon,60,6.01
2022,Yukon,60,3.64
