Year,Taille,Caractéristiques,Value
2001,Petits producteurs alimentaires,Total,-5671
2006,Petits producteurs alimentaires,Total,-5571
2011,Petits producteurs alimentaires,Total,-5220
2016,Petits producteurs alimentaires,Total,-3030
2021,Petits producteurs alimentaires,Total,-5138
2001,Petits producteurs alimentaires,Homme,-6022
2006,Petits producteurs alimentaires,Homme,-5952
2011,Petits producteurs alimentaires,Homme,-5575
2016,Petits producteurs alimentaires,Homme,-3060
2021,Petits producteurs alimentaires,Homme,-5523
2001,Petits producteurs alimentaires,Femme,-4824
2006,Petits producteurs alimentaires,Femme,-4718
2011,Petits producteurs alimentaires,Femme,-4433
2016,Petits producteurs alimentaires,Femme,-2971
2021,Petits producteurs alimentaires,Femme,-4406
2001,Petits producteurs alimentaires,Moins de 35 ans,-6125
2006,Petits producteurs alimentaires,Moins de 35 ans,-5720
2011,Petits producteurs alimentaires,Moins de 35 ans,-5263
2016,Petits producteurs alimentaires,Moins de 35 ans,-3128
2021,Petits producteurs alimentaires,Moins de 35 ans,-5460
2001,Petits producteurs alimentaires,35 à 54 ans,-6300
2006,Petits producteurs alimentaires,35 à 54 ans,-6173
2011,Petits producteurs alimentaires,35 à 54 ans,-6086
2016,Petits producteurs alimentaires,35 à 54 ans,-3358
2021,Petits producteurs alimentaires,35 à 54 ans,-6397
2001,Petits producteurs alimentaires,55 ans et plus,-4798
2006,Petits producteurs alimentaires,55 ans et plus,-4960
2011,Petits producteurs alimentaires,55 ans et plus,-4617
2016,Petits producteurs alimentaires,55 ans et plus,-2840
2021,Petits producteurs alimentaires,55 ans et plus,-4586
2001,Producteurs alimentaires de moyenne à grande échelle,Total,32717
2006,Producteurs alimentaires de moyenne à grande échelle,Total,39161
2011,Producteurs alimentaires de moyenne à grande échelle,Total,66051
2016,Producteurs alimentaires de moyenne à grande échelle,Total,93995
2021,Producteurs alimentaires de moyenne à grande échelle,Total,122075
2001,Producteurs alimentaires de moyenne à grande échelle,Homme,37249
2006,Producteurs alimentaires de moyenne à grande échelle,Homme,44557
2011,Producteurs alimentaires de moyenne à grande échelle,Homme,76164
2016,Producteurs alimentaires de moyenne à grande échelle,Homme,108019
2021,Producteurs alimentaires de moyenne à grande échelle,Homme,139323
2001,Producteurs alimentaires de moyenne à grande échelle,Femme,18739
2006,Producteurs alimentaires de moyenne à grande échelle,Femme,23682
2011,Producteurs alimentaires de moyenne à grande échelle,Femme,35968
2016,Producteurs alimentaires de moyenne à grande échelle,Femme,53796
2021,Producteurs alimentaires de moyenne à grande échelle,Femme,76733
2001,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,26068
2006,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,33589
2011,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,59650
2016,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,78230
2021,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,93309
2001,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,36671
2006,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,43947
2011,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,73600
2016,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,101835
2021,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,138315
2001,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,28241
2006,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,33788
2011,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,59374
2016,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,91115
2021,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,117204
2001,,,18056
2006,,,22019
2011,,,38751
2016,,,56466
2021,,,69694
2001,Total,Homme,21396
2006,Total,Homme,26031
2011,Total,Homme,46442
2016,Total,Homme,67737
2021,Total,Homme,83177
2001,Total,Femme,8715
2006,Total,Femme,11585
2011,Total,Femme,18417
2016,Total,Femme,28429
2021,Total,Femme,38832
2001,Total,Moins de 35 ans,15383
2006,Total,Moins de 35 ans,20917
2011,Total,Moins de 35 ans,40784
2016,Total,Moins de 35 ans,51416
2021,Total,Moins de 35 ans,60115
2001,Total,35 à 54 ans,21600
2006,Total,35 à 54 ans,26522
2011,Total,35 à 54 ans,46740
2016,Total,35 à 54 ans,65629
2021,Total,35 à 54 ans,87649
2001,Total,55 ans et plus,13491
2006,Total,55 ans et plus,16707
2011,Total,55 ans et plus,31206
2016,Total,55 ans et plus,51204
2021,Total,55 ans et plus,61896
