Year,Series,Units,Value
2015,Indice d’orientation agricole des dépenses publiques,Indice,0.5
2016,Indice d’orientation agricole des dépenses publiques,Indice,0.58
2017,Indice d’orientation agricole des dépenses publiques,Indice,0.52
2018,Indice d’orientation agricole des dépenses publiques,Indice,0.57
2019,Indice d’orientation agricole des dépenses publiques,Indice,0.63
2020,Indice d’orientation agricole des dépenses publiques,Indice,0.45
2021,Indice d’orientation agricole des dépenses publiques,Indice,0.83
2022,Indice d’orientation agricole des dépenses publiques,Indice,0.67
2023,Indice d’orientation agricole des dépenses publiques,Indice,0.71
2015,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.87
2016,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.86
2017,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.89
2018,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.87
2019,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.88
2020,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.88
2021,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.88
2022,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.88
2023,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.93
2015,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),0.93
2016,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),1.08
2017,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),0.99
2018,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),1.08
2019,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),1.17
2020,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),0.85
2021,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),1.57
2022,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),1.25
2023,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),1.37
