Year,Indicateur,Value
2005,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,11.2
2005,Ratio des créances improductives moins provisions aux fonds propres,3.63
2005,Ratio des créances improductives au total des prêts bruts,0.5
2005,Rentabilité des actifs,0.99
2005,Ratio des actifs liquides aux passifs à court terme,33.75
2005,Ratio des fonds propres réglementaires de base aux actifs,4.51
2006,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,11.57
2006,Ratio des créances improductives moins provisions aux fonds propres,2.88
2006,Ratio des créances improductives au total des prêts bruts,0.42
2006,Rentabilité des actifs,1.23
2006,Ratio des actifs liquides aux passifs à court terme,34.42
2006,Ratio des fonds propres réglementaires de base aux actifs,4.58
2007,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,10.79
2007,Ratio des créances improductives moins provisions aux fonds propres,3.71
2007,Ratio des créances improductives au total des prêts bruts,0.43
2007,Rentabilité des actifs,1.06
2007,Ratio des actifs liquides aux passifs à court terme,30.34
2007,Ratio des fonds propres réglementaires de base aux actifs,4.22
2008,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,9.75
2008,Ratio des créances improductives moins provisions aux fonds propres,7.84
2008,Ratio des créances improductives au total des prêts bruts,0.76
2008,Rentabilité des actifs,0.53
2008,Ratio des actifs liquides aux passifs à court terme,40.7
2008,Ratio des fonds propres réglementaires de base aux actifs,4.04
2009,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,12.06
2009,Ratio des créances improductives moins provisions aux fonds propres,11.23
2009,Ratio des créances improductives au total des prêts bruts,1.27
2009,Rentabilité des actifs,0.69
2009,Ratio des actifs liquides aux passifs à court terme,54.41
2009,Ratio des fonds propres réglementaires de base aux actifs,4.75
2010,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,13.1
2010,Ratio des créances improductives moins provisions aux fonds propres,10.44
2010,Ratio des créances improductives au total des prêts bruts,1.19
2010,Rentabilité des actifs,1.03
2010,Ratio des actifs liquides aux passifs à court terme,51.12
2010,Ratio des fonds propres réglementaires de base aux actifs,4.76
2011,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,13.34
2011,Ratio des créances improductives moins provisions aux fonds propres,6.64
2011,Ratio des créances improductives au total des prêts bruts,0.84
2011,Rentabilité des actifs,1.18
2011,Ratio des actifs liquides aux passifs à court terme,54.1
2011,Ratio des fonds propres réglementaires de base aux actifs,4.87
2012,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,13.42
2012,Ratio des créances improductives moins provisions aux fonds propres,6.39
2012,Ratio des créances improductives au total des prêts bruts,0.65
2012,Rentabilité des actifs,1.08
2012,Ratio des actifs liquides aux passifs à court terme,51.76
2012,Ratio des fonds propres réglementaires de base aux actifs,4.62
2013,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,11.68
2013,Ratio des créances improductives moins provisions aux fonds propres,6.17
2013,Ratio des créances improductives au total des prêts bruts,0.57
2013,Rentabilité des actifs,1.09
2013,Ratio des actifs liquides aux passifs à court terme,47.82
2013,Ratio des fonds propres réglementaires de base aux actifs,4.3
2014,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,11.93
2014,Ratio des créances improductives moins provisions aux fonds propres,5.5
2014,Ratio des créances improductives au total des prêts bruts,0.52
2014,Rentabilité des actifs,1.1
2014,Ratio des actifs liquides aux passifs à court terme,50.48
2014,Ratio des fonds propres réglementaires de base aux actifs,4.47
2015,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,12.1
2015,Ratio des créances improductives moins provisions aux fonds propres,5.31
2015,Ratio des créances improductives au total des prêts bruts,0.52
2015,Rentabilité des actifs,1.01
2015,Ratio des actifs liquides aux passifs à court terme,45.36
2015,Ratio des fonds propres réglementaires de base aux actifs,4.55
2016,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,12.47
2016,Ratio des créances improductives moins provisions aux fonds propres,6.04
