Year,Montant d'argent envoyé lors du dernier transfert de fonds,Méthode,Région de destination,Value
2017,,,,5.5
2017,,Méthodes traditionnelles,Toutes les régions,5.8
2017,,Méthodes électroniques,Toutes les régions,4.1
2017,,Toutes les méthodes,Amériques,8.5
2017,,Méthodes traditionnelles,Amériques,8.8
2017,,Méthodes électroniques,Amériques,5.7
2017,,Toutes les méthodes,Europe de l'Est et Europe du Sud,7.9
2017,,Méthodes traditionnelles,Europe de l'Est et Europe du Sud,8.4
2017,,Méthodes électroniques,Europe de l'Est et Europe du Sud,5.2
2017,,Toutes les méthodes,Afrique subsaharienne,7.2
2017,,Méthodes traditionnelles,Afrique subsaharienne,7.6
2017,,Méthodes électroniques,Afrique subsaharienne,5.2
2017,,Toutes les méthodes,Afrique du Nord,6.1
2017,,Méthodes traditionnelles,Afrique du Nord,6.5
2017,,Méthodes électroniques,Afrique du Nord,4.3
2017,,Toutes les méthodes,Asie de l'Ouest et centrale et Moyen-Orient,6.2
2017,,Méthodes traditionnelles,Asie de l'Ouest et centrale et Moyen-Orient,6.3
2017,,Méthodes électroniques,Asie de l'Ouest et centrale et Moyen-Orient,4.7
2017,,Toutes les méthodes,Asie de l'Est,2.1
2017,,Méthodes traditionnelles,Asie de l'Est,2.2
2017,,Méthodes électroniques,Asie de l'Est,1.3
2017,,Toutes les méthodes,Asie du Sud-Est et Océanie,4.4
2017,,Méthodes traditionnelles,Asie du Sud-Est et Océanie,4.5
2017,,Méthodes électroniques,Asie du Sud-Est et Océanie,3.5
2017,,Toutes les méthodes,Asie du Sud,3.6
2017,,Méthodes traditionnelles,Asie du Sud,3.7
2017,,Méthodes électroniques,Asie du Sud,3.0
2017,,Toutes les méthodes,Pays non admissibles à l'aide publique au développement,5.8
2017,,Méthodes traditionnelles,Pays non admissibles à l'aide publique au développement,6.2
2017,,Méthodes électroniques,Pays non admissibles à l'aide publique au développement,4.6
2017,100 $ ou moins,Toutes les méthodes,,12.6
2017,100 $ ou moins,Méthodes traditionnelles,,13.0
2017,100 $ ou moins,Méthodes électroniques,,9.2
2017,101 $ à 200 $,Toutes les méthodes,,7.0
2017,101 $ à 200 $,Méthodes traditionnelles,,7.1
2017,101 $ à 200 $,Méthodes électroniques,,6.1
2017,201 $ à 300 $,Toutes les méthodes,,5.1
2017,201 $ à 300 $,Méthodes traditionnelles,,5.3
2017,201 $ à 300 $,Méthodes électroniques,,4.2
2017,301 $ à 500 $,Toutes les méthodes,,3.5
2017,301 $ à 500 $,Méthodes traditionnelles,,3.7
2017,301 $ à 500 $,Méthodes électroniques,,2.6
2017,501 $ à 1 000 $,Toutes les méthodes,,2.6
2017,501 $ à 1 000 $,Méthodes traditionnelles,,2.8
2017,501 $ à 1 000 $,Méthodes électroniques,,2.0
2017,1 001 $ ou plus,Toutes les méthodes,,1.3
2017,1 001 $ ou plus,Méthodes traditionnelles,,1.3
2017,1 001 $ ou plus,Méthodes électroniques,,1.0
