Year,Value,Units,Series
2015,1172780.8,Metric tonnes,Air freight volume
2016,1223213.3,Metric tonnes,Air freight volume
2017,1316626.7,Metric tonnes,Air freight volume
2018,1444698.9,Metric tonnes,Air freight volume
2019,1377025.8,Metric tonnes,Air freight volume
2020,1186628.5,Metric tonnes,Air freight volume
2021,1299219.8,Metric tonnes,Air freight volume
2022,1473149.8,Metric tonnes,Air freight volume
2023,1502474.1,Metric tonnes,Air freight volume
2024,1578894.4,Metric tonnes,Air freight volume
2015,133426703.0,Number of passengers,Air passengers
2016,140892544.0,Number of passengers,Air passengers
2017,150808451.0,Number of passengers,Air passengers
2018,160641587.0,Number of passengers,Air passengers
2019,162864077.0,Number of passengers,Air passengers
2020,46349535.0,Number of passengers,Air passengers
2021,46280911.0,Number of passengers,Air passengers
2022,118882897.0,Number of passengers,Air passengers
2023,150701926.0,Number of passengers,Air passengers
2024,156722185.0,Number of passengers,Air passengers
2015,304908351.0,Metric tonnes,Rail freight volume
2016,292888995.0,Metric tonnes,Rail freight volume
2017,311701985.0,Metric tonnes,Rail freight volume
2018,328539280.0,Metric tonnes,Rail freight volume
2019,330244510.0,Metric tonnes,Rail freight volume
2020,321764297.0,Metric tonnes,Rail freight volume
2021,321060103.0,Metric tonnes,Rail freight volume
2022,315660251.0,Metric tonnes,Rail freight volume
2023,325563272.0,Metric tonnes,Rail freight volume
2015,3921000.0,Number of passengers,Rail passengers
2016,4080000.0,Number of passengers,Rail passengers
2017,4496000.0,Number of passengers,Rail passengers
2018,4838000.0,Number of passengers,Rail passengers
2019,5102000.0,Number of passengers,Rail passengers
2020,1125000.0,Number of passengers,Rail passengers
2021,1549000.0,Number of passengers,Rail passengers
2022,3377000.0,Number of passengers,Rail passengers
2023,4187000.0,Number of passengers,Rail passengers
2015,729215433.594,Metric tonnes,Road freight volume
2016,755515777.679,Metric tonnes,Road freight volume
2017,751948221.713,Metric tonnes,Road freight volume
2018,753715221.437,Metric tonnes,Road freight volume
