Year,Value,Units,Series
2015,0.5,Index,Agriculture orientation index for government expenditures
2016,0.58,Index,Agriculture orientation index for government expenditures
2017,0.52,Index,Agriculture orientation index for government expenditures
2018,0.57,Index,Agriculture orientation index for government expenditures
2019,0.63,Index,Agriculture orientation index for government expenditures
2020,0.45,Index,Agriculture orientation index for government expenditures
2021,0.83,Index,Agriculture orientation index for government expenditures
2022,0.67,Index,Agriculture orientation index for government expenditures
2023,0.71,Index,Agriculture orientation index for government expenditures
2015,1.87,Percentage (%),Agriculture value added share of GDP
2016,1.86,Percentage (%),Agriculture value added share of GDP
2017,1.89,Percentage (%),Agriculture value added share of GDP
2018,1.87,Percentage (%),Agriculture value added share of GDP
2019,1.88,Percentage (%),Agriculture value added share of GDP
2020,1.88,Percentage (%),Agriculture value added share of GDP
2021,1.88,Percentage (%),Agriculture value added share of GDP
2022,1.88,Percentage (%),Agriculture value added share of GDP
2023,1.93,Percentage (%),Agriculture value added share of GDP
2015,0.93,Percentage (%),Agriculture share of Government Expenditure
2016,1.08,Percentage (%),Agriculture share of Government Expenditure
2017,0.99,Percentage (%),Agriculture share of Government Expenditure
2018,1.08,Percentage (%),Agriculture share of Government Expenditure
2019,1.17,Percentage (%),Agriculture share of Government Expenditure
2020,0.85,Percentage (%),Agriculture share of Government Expenditure
2021,1.57,Percentage (%),Agriculture share of Government Expenditure
2022,1.25,Percentage (%),Agriculture share of Government Expenditure
2023,1.37,Percentage (%),Agriculture share of Government Expenditure
