Year,Value,Units,Series
1990,41.1443,Percentage (%),Forest area as a proportion of total land area
1991,41.1383,Percentage (%),Forest area as a proportion of total land area
1992,41.1322,Percentage (%),Forest area as a proportion of total land area
1993,41.1266,Percentage (%),Forest area as a proportion of total land area
1994,41.118,Percentage (%),Forest area as a proportion of total land area
1995,41.1135,Percentage (%),Forest area as a proportion of total land area
1996,41.1096,Percentage (%),Forest area as a proportion of total land area
1997,41.1055,Percentage (%),Forest area as a proportion of total land area
1998,41.1014,Percentage (%),Forest area as a proportion of total land area
1999,41.0967,Percentage (%),Forest area as a proportion of total land area
2000,41.0917,Percentage (%),Forest area as a proportion of total land area
2001,41.0873,Percentage (%),Forest area as a proportion of total land area
2002,41.083,Percentage (%),Forest area as a proportion of total land area
2003,41.0772,Percentage (%),Forest area as a proportion of total land area
2004,41.0717,Percentage (%),Forest area as a proportion of total land area
2005,41.0663,Percentage (%),Forest area as a proportion of total land area
2006,41.0614,Percentage (%),Forest area as a proportion of total land area
2007,41.053,Percentage (%),Forest area as a proportion of total land area
2008,41.0477,Percentage (%),Forest area as a proportion of total land area
2009,41.0426,Percentage (%),Forest area as a proportion of total land area
2010,41.0379,Percentage (%),Forest area as a proportion of total land area
2011,41.0334,Percentage (%),Forest area as a proportion of total land area
2012,41.0288,Percentage (%),Forest area as a proportion of total land area
2013,41.024,Percentage (%),Forest area as a proportion of total land area
2014,41.018,Percentage (%),Forest area as a proportion of total land area
2015,41.0117,Percentage (%),Forest area as a proportion of total land area
2016,41.0054,Percentage (%),Forest area as a proportion of total land area
2017,40.9992,Percentage (%),Forest area as a proportion of total land area
2018,40.9934,Percentage (%),Forest area as a proportion of total land area
2019,40.9878,Percentage (%),Forest area as a proportion of total land area
2020,40.9821,Percentage (%),Forest area as a proportion of total land area
2021,40.9766,Percentage (%),Forest area as a proportion of total land area
2022,40.9711,Percentage (%),Forest area as a proportion of total land area
1990,368883000.0,Hectares,Forest area
1991,368829000.0,Hectares,Forest area
1992,368774000.0,Hectares,Forest area
1993,368724000.0,Hectares,Forest area
1994,368647000.0,Hectares,Forest area
1995,368607000.0,Hectares,Forest area
1996,368572000.0,Hectares,Forest area
1997,368535000.0,Hectares,Forest area
1998,368498000.0,Hectares,Forest area
1999,368456000.0,Hectares,Forest area
2000,368411000.0,Hectares,Forest area
2001,368372000.0,Hectares,Forest area
2002,368333000.0,Hectares,Forest area
2003,368281000.0,Hectares,Forest area
2004,368232000.0,Hectares,Forest area
2005,368184000.0,Hectares,Forest area
2006,368140000.0,Hectares,Forest area
2007,368064000.0,Hectares,Forest area
2008,368017000.0,Hectares,Forest area
2009,367971000.0,Hectares,Forest area
2010,367929000.0,Hectares,Forest area
2011,367889000.0,Hectares,Forest area
2012,367847000.0,Hectares,Forest area
2013,367804000.0,Hectares,Forest area
2014,367751000.0,Hectares,Forest area
2015,367694000.0,Hectares,Forest area
2016,367638000.0,Hectares,Forest area
2017,367582000.0,Hectares,Forest area
2018,367530000.0,Hectares,Forest area
2019,367480000.0,Hectares,Forest area
2020,367429000.0,Hectares,Forest area
2021,367379000.0,Hectares,Forest area
2022,367330000.0,Hectares,Forest area
1990,896559000.0,Hectares,Land area
1991,896559000.0,Hectares,Land area
1992,896559000.0,Hectares,Land area
1993,896559000.0,Hectares,Land area
1994,896559000.0,Hectares,Land area
1995,896559000.0,Hectares,Land area
1996,896559000.0,Hectares,Land area
1997,896559000.0,Hectares,Land area
1998,896559000.0,Hectares,Land area
1999,896559000.0,Hectares,Land area
2000,896559000.0,Hectares,Land area
2001,896559000.0,Hectares,Land area
2002,896559000.0,Hectares,Land area
2003,896559000.0,Hectares,Land area
2004,896559000.0,Hectares,Land area
2005,896559000.0,Hectares,Land area
2006,896559000.0,Hectares,Land area
2007,896559000.0,Hectares,Land area
2008,896559000.0,Hectares,Land area
2009,896559000.0,Hectares,Land area
2010,896559000.0,Hectares,Land area
2011,896559000.0,Hectares,Land area
2012,896559000.0,Hectares,Land area
2013,896559000.0,Hectares,Land area
2014,896559000.0,Hectares,Land area
2015,896559000.0,Hectares,Land area
2016,896559000.0,Hectares,Land area
2017,896559000.0,Hectares,Land area
2018,896559000.0,Hectares,Land area
2019,896559000.0,Hectares,Land area
2020,896559000.0,Hectares,Land area
2021,896559000.0,Hectares,Land area
2022,896559000.0,Hectares,Land area
