Year,Value,Units,Series
2015-2016,-0.01,Percentage (%),Forest area net change rate
2016-2017,-0.01,Percentage (%),Forest area net change rate
2017-2018,-0.01,Percentage (%),Forest area net change rate
2018-2019,-0.01,Percentage (%),Forest area net change rate
2019-2020,-0.01,Percentage (%),Forest area net change rate
2010,91.16,Tonnes/hectare,Above-ground biomass stock in forest
2015,90.49,Tonnes/hectare,Above-ground biomass stock in forest
2016,90.43,Tonnes/hectare,Above-ground biomass stock in forest
2017,90.43,Tonnes/hectare,Above-ground biomass stock in forest
2018,90.43,Tonnes/hectare,Above-ground biomass stock in forest
2019,90.43,Tonnes/hectare,Above-ground biomass stock in forest
2020,90.43,Tonnes/hectare,Above-ground biomass stock in forest
2010,8.13,Percentage (%),Proportion of forest area located within legally established protected areas
2015,8.5,Percentage (%),Proportion of forest area located within legally established protected areas
2016,8.5,Percentage (%),Proportion of forest area located within legally established protected areas
2017,8.5,Percentage (%),Proportion of forest area located within legally established protected areas
2018,8.5,Percentage (%),Proportion of forest area located within legally established protected areas
2019,8.5,Percentage (%),Proportion of forest area located within legally established protected areas
2020,8.5,Percentage (%),Proportion of forest area located within legally established protected areas
2010,54.12,Percentage (%),Proportion of forest area under a long-term forest management plan
2015,54.35,Percentage (%),Proportion of forest area under a long-term forest management plan
2016,57.64,Percentage (%),Proportion of forest area under a long-term forest management plan
2017,57.64,Percentage (%),Proportion of forest area under a long-term forest management plan
2018,60.71,Percentage (%),Proportion of forest area under a long-term forest management plan
2019,60.82,Percentage (%),Proportion of forest area under a long-term forest management plan
2020,60.82,Percentage (%),Proportion of forest area under a long-term forest management plan
2000,5.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2001,17.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2002,28.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2003,58.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2004,86.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2005,120.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2006,124.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2007,138.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2008,146.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2009,143.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2010,150.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2011,151.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2012,148.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2013,153.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2014,161.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2015,166.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2016,168.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2017,170.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2018,164.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2019,168.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2020,164.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2021,158.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2022,155.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
2023,160.0,Hectares (Millions),Forest area under an independently verified forest management certification scheme
