Year,Value,Units,Series
2000,1473.01,Tonnes (million),Domestic material consumption
2001,1423.17,Tonnes (million),Domestic material consumption
2002,1469.28,Tonnes (million),Domestic material consumption
2003,1460.45,Tonnes (million),Domestic material consumption
2004,1556.07,Tonnes (million),Domestic material consumption
2005,1525.85,Tonnes (million),Domestic material consumption
2006,1652.65,Tonnes (million),Domestic material consumption
2007,1752.49,Tonnes (million),Domestic material consumption
2008,1698.86,Tonnes (million),Domestic material consumption
2009,1711.42,Tonnes (million),Domestic material consumption
2010,1798.92,Tonnes (million),Domestic material consumption
2011,1913.08,Tonnes (million),Domestic material consumption
2012,1933.67,Tonnes (million),Domestic material consumption
2013,2035.2,Tonnes (million),Domestic material consumption
2014,2012.24,Tonnes (million),Domestic material consumption
2015,2040.18,Tonnes (million),Domestic material consumption
2016,2009.55,Tonnes (million),Domestic material consumption
2017,2112.05,Tonnes (million),Domestic material consumption
2018,2074.66,Tonnes (million),Domestic material consumption
2019,2135.63,Tonnes (million),Domestic material consumption
2000,48.0,Tonnes per capita,Domestic material consumption per capita
2001,45.88,Tonnes per capita,Domestic material consumption per capita
2002,46.85,Tonnes per capita,Domestic material consumption per capita
2003,46.15,Tonnes per capita,Domestic material consumption per capita
2004,48.72,Tonnes per capita,Domestic material consumption per capita
2005,47.32,Tonnes per capita,Domestic material consumption per capita
2006,50.74,Tonnes per capita,Domestic material consumption per capita
2007,53.29,Tonnes per capita,Domestic material consumption per capita
2008,51.1,Tonnes per capita,Domestic material consumption per capita
2009,50.89,Tonnes per capita,Domestic material consumption per capita
2010,52.9,Tonnes per capita,Domestic material consumption per capita
2011,55.71,Tonnes per capita,Domestic material consumption per capita
2012,55.7,Tonnes per capita,Domestic material consumption per capita
2013,58.01,Tonnes per capita,Domestic material consumption per capita
2014,56.79,Tonnes per capita,Domestic material consumption per capita
2015,57.14,Tonnes per capita,Domestic material consumption per capita
2016,55.65,Tonnes per capita,Domestic material consumption per capita
2017,57.79,Tonnes per capita,Domestic material consumption per capita
2018,55.96,Tonnes per capita,Domestic material consumption per capita
2019,56.77,Tonnes per capita,Domestic material consumption per capita
2000,0.00096,Tonnes per dollar,Domestic material consumption per GDP
2001,0.00091,Tonnes per dollar,Domestic material consumption per GDP
2002,0.00091,Tonnes per dollar,Domestic material consumption per GDP
2003,0.00089,Tonnes per dollar,Domestic material consumption per GDP
2004,0.00092,Tonnes per dollar,Domestic material consumption per GDP
2005,0.00087,Tonnes per dollar,Domestic material consumption per GDP
2006,0.00092,Tonnes per dollar,Domestic material consumption per GDP
2007,0.00096,Tonnes per dollar,Domestic material consumption per GDP
2008,0.00092,Tonnes per dollar,Domestic material consumption per GDP
2009,0.00095,Tonnes per dollar,Domestic material consumption per GDP
2010,0.00097,Tonnes per dollar,Domestic material consumption per GDP
2011,0.001,Tonnes per dollar,Domestic material consumption per GDP
2012,0.001,Tonnes per dollar,Domestic material consumption per GDP
2013,0.00102,Tonnes per dollar,Domestic material consumption per GDP
2014,0.00098,Tonnes per dollar,Domestic material consumption per GDP
2015,0.00099,Tonnes per dollar,Domestic material consumption per GDP
2016,0.00097,Tonnes per dollar,Domestic material consumption per GDP
2017,0.00099,Tonnes per dollar,Domestic material consumption per GDP
2018,0.00094,Tonnes per dollar,Domestic material consumption per GDP
2019,0.00095,Tonnes per dollar,Domestic material consumption per GDP
